"","baseMean","lgFC_PMoDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Il4ra",459.718873558521,0.603567201324929,0.127982860165304,4.71600025616988,2.40526131245498e-06,2.64208962756672e-05
"Aldh1a2",12.6593585719816,2.2086188526266,0.468385972638455,4.71538214559517,2.41257508980982e-06,2.64827289362574e-05
"Akr7a5",45.4154851603883,-1.03028890158772,0.218594586658309,-4.71324069519705,2.43807922318554e-06,2.67440106833591e-05
"Rabepk",122.484159039439,0.714380416084774,0.151603890089745,4.71215095906762,2.45115687570688e-06,2.68687133397744e-05
"B3glct",18.2026505548844,-1.36185341194792,0.28915592776442,-4.70975443068711,2.48015432330608e-06,2.71676277408002e-05
"Mbd2",721.443102116492,0.361500648785574,0.0767595129722193,4.70952243947155,2.48297878101928e-06,2.71796263640961e-05
"Smim7",82.221789381413,-0.773326574130659,0.164217482081076,-4.70916107305104,2.48738451386239e-06,2.71899841261494e-05
"Socs3",443.844852464471,0.839083136128039,0.178178386950529,4.70923073493202,2.48653462172399e-06,2.71899841261494e-05
"Nid2",4.11132025508741,-3.03054654680231,0.643660699557495,-4.70829825230243,2.49793428352975e-06,2.72863300922892e-05
"Gm38292",10.3893430627992,2.53056240100477,0.537945488843796,4.70412421608684,2.54957993255457e-06,2.78311437221009e-05
"Pnlip",101.494594150781,-5.85005394338674,1.24399627787253,-4.70262978068669,2.56831865408569e-06,2.80162393640339e-05
"Ensa",82.7334814882929,-0.734011921871632,0.156102845755248,-4.70210468182292,2.5749341974598e-06,2.80689255546953e-05
"Hbq1a",2.45869360891801,-5.66129138907914,1.20412415696754,-4.70158443074218,2.58150479377196e-06,2.8121049101387e-05
"Zc3h7b",158.030589644656,0.709058816296844,0.150857633721652,4.70018519318109,2.59925663794964e-06,2.82948165456582e-05
"Stat4",151.234284664447,1.78652303936244,0.380175519115609,4.69920589184274,2.61175046979539e-06,2.8411145767968e-05
"Slc25a12",171.30520698447,0.683065832282182,0.145376130287672,4.69861063800862,2.61937280456516e-06,2.84743576175379e-05
"Gss",41.0212886000159,-1.00800235669975,0.21458709545868,-4.6974043548385,2.63488500961259e-06,2.86231910615759e-05
