"","baseMean","lgFC_LcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Ppp1r18",616.985931587309,-0.554849150569973,0.0913448461596481,-6.07422502633848,1.24587919903724e-09,1.97549372087913e-08
"Tmem229b",155.856013894356,-1.0181672359374,0.167730733017075,-6.07024853241266,1.27712449620189e-09,2.02281234152285e-08
"Tnf",320.405176478378,2.75170073579382,0.453551143399768,6.06701311602345,1.30310919103408e-09,2.06197866110687e-08
"Scart2",38.7669545111219,-1.41684439334845,0.233601361151982,-6.06522319202858,1.31770533952215e-09,2.08306617689971e-08
"Rhobtb2",119.566627711317,-0.912482955113568,0.150454172979965,-6.0648564080378,1.32071593716568e-09,2.08581595889813e-08
"Zfp36l1",634.589850561602,-1.12151868979679,0.185183407569906,-6.05625905967535,1.39323564272162e-09,2.19823112129029e-08
"Grb10",6.16206443510058,5.03689355632608,0.83200485127825,6.05392330175437,1.41359935318904e-09,2.22607982595768e-08
"Selenop",267.422015331013,-1.19797386157898,0.197880088766855,-6.05403943895767,1.41258002243525e-09,2.22607982595768e-08
"Morf4l2",57.4379467710075,1.01141525328594,0.167179453675702,6.04987772748621,1.4495581003667e-09,2.28051762885112e-08
"Peg10",9.78983954784107,4.35411133528911,0.719965200759771,6.04766915219551,1.46956344154329e-09,2.30977648585094e-08
"Dapl1",18.9325988694823,-3.48534084034296,0.57648812048596,-6.04581554500193,1.48656094767854e-09,2.33425632444567e-08
"Armc3",18.8779727433699,-2.55856797148452,0.423235584180231,-6.04525722108229,1.49171819969555e-09,2.34011509931207e-08
"Htatip2",94.0014310393545,1.19802494554017,0.198202011298555,6.04446411865901,1.49907409629681e-09,2.348575914647e-08
"Il15ra",141.526919070653,-1.11013739924601,0.183664780301463,-6.04436733827712,1.49997413526117e-09,2.348575914647e-08
"Atp6v1a",280.51424087342,0.638254545821021,0.105659789410752,6.04065699336017,1.53487958810816e-09,2.40093795626947e-08
"Itga4",181.417011448425,-1.36108573237912,0.225364698812815,-6.03948062650941,1.54611074368806e-09,2.4162029707788e-08
