"","baseMean","lgFC_PMoDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Gm3636",1.54973194121959,-4.76978609449644,1.2578700214512,-3.79195466395929,0.000149466204159805,0.000771255013854794
"Taf6",140.156878866166,-0.401378196030032,0.105856563624532,-3.79171760622893,0.00014960897731158,0.000771749043918803
"Prpsap1",238.685537909244,-0.497615012535857,0.131266870212183,-3.79086521779257,0.00015012340828302,0.000774159335800151
"Cmc2",125.022676987629,0.824800958697279,0.217681003503888,3.7890350807876,0.000151233558741654,0.000779639166004338
"5430401H09Rik",3.05687837630909,-4.29901822902971,1.13480912204565,-3.78831835725832,0.000151670421348139,0.000781645711024374
"Gm38292",10.3893430627992,1.75411086221346,0.463473093947214,3.78470915598228,0.000153888440327118,0.000792827446570698
"Mrpl55",153.587887245888,-0.413673903277639,0.109320390372216,-3.78405073261405,0.000154296350312804,0.000794679476548274
"Nfkbil1",39.3374238364895,0.876891404584246,0.231766034970084,3.78351989624982,0.000154625957709196,0.000796127185456606
"Fam210b",13.2262236692922,1.36580760483981,0.361156938614633,3.78175651305201,0.000155725642947985,0.000801537664721922
"Glt8d1",22.7393439500798,1.02172339291588,0.270257082738441,3.78056102198335,0.000156475360262625,0.000805143990764945
"Slc25a30",29.1293530580849,0.979051915679036,0.25897668917572,3.78046348030472,0.000156536680336016,0.000805207018066986
"Gm6548",53.5203368083567,-1.3995658629611,0.370227896435019,-3.7802820274694,0.000156650811759833,0.000805541576360732
"Fxyd5",1227.05846848097,0.661894359595154,0.17511157136645,3.77984364157197,0.000156926873926835,0.000806708356599447
"Abcb1a",17.5446136534059,-0.917661751411224,0.242797501203994,-3.77953540238548,0.000157121253653286,0.000807454635514179
"Tmem120b",18.4672795652817,1.40600337109258,0.372031905665124,3.77925481573658,0.000157298392321254,0.000808111872135083
"Alas1",841.225391757035,0.704835586636989,0.186515155358163,3.77897219817608,0.000157477003119785,0.00080877625796324
"Crip1",1312.51104646571,0.757101729511378,0.200385583492094,3.77822454249184,0.00015795043307425,0.000810953897470389
