"","baseMean","lgFC_LcDC_vs_LMoDC","lfcSE","stat","pvalue","padj"
"Eif3g",1030.28599163017,-0.353625031526862,0.068158929324869,-5.18824217207643,2.122884195393e-07,1.06300176771761e-05
"Plscr3",105.184592172973,-0.985373608944211,0.190041741525707,-5.18503777661351,2.15971084354151e-07,1.07448167263701e-05
"Txnrd1",442.517767030881,0.773557584815287,0.149199319326389,5.18472596462086,2.16332713678954e-07,1.07448167263701e-05
"Pcnt",127.262621876582,0.754072321507088,0.145604235354654,5.17891749282131,2.23177141323025e-07,1.10400692328664e-05
"Nmi",239.353418523189,-1.6566757389129,0.320537876060163,-5.16842427258722,2.36075906330977e-07,1.16268844363595e-05
"Pgap2",124.467441417142,-0.89151161762308,0.172514628500788,-5.16774505078569,2.36935206153397e-07,1.16268844363595e-05
"Glud1",492.102206151226,0.564022840069317,0.109580424783773,5.147113101471,2.64525848448335e-07,1.29181679048927e-05
"Tbcel",137.645910756956,0.91940346740881,0.178645466463761,5.14652560520094,2.65355258561539e-07,1.29181679048927e-05
"Ank",63.1522999996458,1.35879150281955,0.265162395745516,5.12437481566434,2.98526609225006e-07,1.44755906797327e-05
"Csf3",54.4754176504798,2.2473723570836,0.439175376278231,5.11725492473835,3.10014487525505e-07,1.49734556415862e-05
"Apobec3",1362.80875427788,-0.505614892774132,0.098901755587,-5.11229441553606,3.18269275859949e-07,1.53118724558818e-05
"Napsa",1117.46494131365,-0.61504536087449,0.120359373997958,-5.11007444160458,3.22031900235877e-07,1.54323724691162e-05
"Abhd8",104.872145174736,-0.693079445666959,0.135653569791907,-5.10918692910289,3.23548126440691e-07,1.54447020045696e-05
"Tspan31",160.791896566056,-0.703458563521007,0.137932401776428,-5.10002402960568,3.39610363255877e-07,1.60862545807842e-05
"Xpot",179.890670690456,0.683376168357464,0.133979530887836,5.10060129207026,3.38576123423378e-07,1.60862545807842e-05
"4933412E12Rik",42.8942875811457,-1.34713330650433,0.26428577746752,-5.09725994116308,3.44604991673567e-07,1.62600539917358e-05
"Cops6",161.076221217242,-0.857687377803632,0.168457649744622,-5.09141246541112,3.55405942301283e-07,1.67054409967515e-05
"Egr3",85.0135281645115,-1.28498299840934,0.253078485955484,-5.07740906366637,3.826165290426e-07,1.7915799917155e-05
"Sipa1",504.02342406139,-0.693007453978037,0.136537441048991,-5.07558548522511,3.86304627846728e-07,1.80197154921051e-05
"Marcksl1",586.557095488386,-1.02039719571713,0.201127960731189,-5.07337315014551,3.90825037562337e-07,1.81615210636923e-05
"Nup210",470.204934043411,-0.583570853462564,0.115078814923088,-5.07105372828691,3.95619051854785e-07,1.83149227477529e-05
"Ndel1",200.758478137875,0.567147448301731,0.112098194910464,5.05938073984802,4.206202528623e-07,1.93461711548235e-05
"Snhg12",216.947170485568,0.98874788829356,0.1954361411003,5.05918650832409,4.21048883138072e-07,1.93461711548235e-05
"Gls",91.1740959495502,0.869878905688529,0.172158624546652,5.05277564791885,4.35435270355938e-07,1.99325369280845e-05
"Egr2",64.9477611741571,-1.47475161483566,0.292061932270339,-5.04944825699023,4.43087928273276e-07,2.02074449964927e-05
"Fip1l1",303.459009080783,0.542042991950278,0.107425246746711,5.04576911262132,4.51700616665706e-07,2.05239376490922e-05
"Mlkl",84.6549550201656,-1.22142000109558,0.242207123313977,-5.04287398480939,4.58591277953794e-07,2.07601394757828e-05
"Hba-a1",7784.50709736582,-3.15141185306311,0.627544385540143,-5.02181507105766,5.11854540280438e-07,2.3086145221178e-05
"Itm2c",435.816773929824,-0.709151389406264,0.141489066533336,-5.01205786978022,5.38510024326902e-07,2.41994175034521e-05
"Themis2",405.247560634223,-0.955298851752588,0.190785090386576,-5.007198674786,5.52279138544305e-07,2.47275929622684e-05
"Tomm40",347.6369010682,-0.486846182132258,0.0972499024147018,-5.00613543092521,5.55336912944074e-07,2.47740845381742e-05
"Brpf3",73.257294535679,1.11407830853672,0.222790245017474,5.00057041747649,5.71609458679635e-07,2.54076262285571e-05
"Klf6",556.307408457095,1.04679411684721,0.209767485767065,4.99025915774964,6.02983390361683e-07,2.66093533559609e-05
"Pnpt1",63.6359972132957,-1.29048728767344,0.258594746403107,-4.99038478400401,6.02591346471479e-07,2.66093533559609e-05
"Znrd2",141.082078921953,-0.714037523173507,0.143263904217988,-4.98407136864731,6.22600977333242e-07,2.73765906448896e-05
"Marchf5",412.972174165612,-0.623889423013848,0.1252318197533,-4.98187620560716,6.29707168717976e-07,2.75901698065433e-05
"9330175E14Rik",35.1446140791062,-1.25767770742618,0.252684683069089,-4.97726135257001,6.44902188544171e-07,2.81553738400708e-05
"Cebpg",168.332437607584,0.660477285593113,0.132732537624684,4.9760013438505,6.49111965348583e-07,2.82386723081433e-05
"Cyb5b",207.072781658534,0.732575898441296,0.148091654476418,4.94677367898507,7.5453617064995e-07,3.27090096873978e-05
"Hdac1",253.308682233377,-0.663726645647336,0.134198031708153,-4.94587466894278,7.58027203034029e-07,3.27446398831742e-05
"Lamtor3",99.3837960862554,0.798251104302619,0.161516963170571,4.94221219018104,7.72410818829434e-07,3.32488979838579e-05
"Etnk1",527.243472508675,-0.615337885652474,0.124605560909793,-4.93828590922954,7.88122375856864e-07,3.38065919825595e-05
"Eif1",1722.7861079473,0.611898857921106,0.124129211903847,4.92953148204224,8.24270525999507e-07,3.52339749580556e-05
"Il17a",38.7820704366072,-1.81641230801298,0.368840566137132,-4.92465437583579,8.45095896152284e-07,3.58791060981839e-05
"Trim14",36.7058310480625,-1.49432856936904,0.303439919223967,-4.92462749525741,8.45212068990476e-07,3.58791060981839e-05
"Apobec1",126.144281576977,-0.820140698932627,0.166566781297813,-4.92379508412459,8.48817216376068e-07,3.59078952086262e-05
"Dapk2",35.1402991209987,1.37569276539046,0.279806700786868,4.91658263194469,8.80680338995787e-07,3.71277883120286e-05
"Tshz1",47.5359270908291,1.15132274380532,0.234512168294189,4.90943711867872,9.1338180979766e-07,3.8374548091088e-05
"Upf3a",157.030674982131,0.739242226773931,0.150819257473472,4.90151084919616,9.51023964931424e-07,3.98196655350809e-05
"Itpkb",157.202689718936,-0.632128271901663,0.129533548047133,-4.88003518340786,1.06066916748076e-06,4.42594875736529e-05
"Mef2b",87.9682013442259,-1.06657674347972,0.218765452195481,-4.87543500482274,1.08568939512279e-06,4.5149957624971e-05
"Nfe2l1",263.447068452731,0.889937770044269,0.182729939095941,4.87023513742327,1.11465523323048e-06,4.61979405448362e-05
