"","baseMean","lgFC_LMoDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Gm2387",13.4677857638031,1.24927455067728,0.507137786434543,2.46338289927156,0.0137632845710087,0.0383182908557714
"Rbm39",700.366492051722,-0.543870659804162,0.220811690933904,-2.46305192222345,0.0137759964599935,0.0383468900929055
"Gm10327",1.61202620376878,3.15924697662505,1.28278196238732,2.46280901139702,0.0137853325713651,0.0383660840455537
"Mbtd1",118.525118069368,-0.579179153907155,0.235179326797321,-2.46271286594121,0.0137890293993044,0.0383695792401604
"Apon",2.12948621858661,2.43391931548657,0.988369022149592,2.46256131155655,0.0137948584984734,0.0383790054402661
"Akr1c18",5.31106333135247,3.2901034472414,1.33611438944841,2.46244144455301,0.0137994703755831,0.0383850424409469
"Ercc6",12.1348198512633,1.28669979839921,0.522830237250709,2.46102789533614,0.013853959398756,0.0385297926024497
"Fhl2",4.90694287964206,-2.34828349969115,0.954298395678869,-2.4607434218944,0.0138649481204973,0.0385535325501676
"0610043K17Rik",1.47625403595089,3.39096179014975,1.37822704385005,2.46037966333701,0.013879010701869,0.0385858099085034
"Lncppara",1.63551747110624,-3.26750162288026,1.32831494653348,-2.45988470686676,0.0138981655018249,0.0386322305080788
"Cadm3",2.27401685629422,-2.33877616973854,0.95084453077439,-2.45968304390813,0.0139059765415419,0.0386471084258306
"Slc36a1",31.6059641707113,0.772391587529815,0.31406372912797,2.45934667360169,0.0139190138438454,0.038676503201592
"Plxnc1",53.7598945270316,-0.761382309594985,0.309671378203607,-2.45867833834608,0.0139449497258708,0.0387417222942671
"Gm15467",5.3661929799789,1.61662367274442,0.657628960739699,2.4582610700813,0.0139611641524651,0.0387799150578898
"Romo1",500.662684745663,-0.268043964482702,0.109057981038923,-2.45781154143167,0.01397865079032,0.0388216275217386
"Mapk8",10.6515456466946,-1.28891221103923,0.524594632872832,-2.45696797159509,0.0140115177957938,0.0389060321907938
"Dohh",147.082521874487,0.359957291307277,0.146526533333284,2.45660142991667,0.0140258201675071,0.0389388673989834
"Ramp1",6.77450652096729,-1.35105149873634,0.550022719421627,-2.4563558031876,0.0140354116751389,0.0389586148899009
"Ankrd13a",600.821931326702,-0.357425251056461,0.145527293033157,-2.45607022302699,0.0140465706070332,0.0389758240727192
"Gm5608",2.26283524024794,-3.14621898986845,1.2809873172459,-2.45608910214095,0.0140458326714748,0.0389758240727192
"Arvcf",6.36434117692769,-1.49254092876569,0.607914944276043,-2.45518051960892,0.0140813856304219,0.0390604021394366
"Melk",27.9068059713379,0.714219029069985,0.290904781396723,2.45516428310597,0.0140820216886689,0.0390604021394366
"Pdp1",7.75167301118699,-1.90847536252059,0.77735489837949,-2.45508887446273,0.0140849761232514,0.0390617042486572
"Wdr54",2.33294441784629,2.23194615170731,0.909441386751638,2.45419461245263,0.0141200541381776,0.0391520781439432
"Gng11",8.52060762889158,-1.37345741344831,0.559685070008057,-2.45398258243432,0.0141283824526806,0.0391682616884809
"Syn1",1.74049702080606,-2.89563371141874,1.18001488719358,-2.4538959150807,0.0141317879023739,0.0391707942227854
"Gm13830",3.87164809787849,2.2712626381675,0.925991992041346,2.45278863930616,0.014175360251714,0.039284641713098
"Aopep",113.66406372646,0.372573011932023,0.151958304618692,2.45181079682955,0.014213937801044,0.0393846092534128
"Aoc1",4.896644754728,2.94488163396234,1.20121159101379,2.45159275517557,0.0142225525348956,0.0393945908891672
"Ugcg",107.151496905106,-0.473099505481518,0.192973750529381,-2.45162621436166,0.0142212302774194,0.0393945908891672
"Srsf3-ps",7.8192711047048,1.4064696453744,0.573792510855699,2.4511816009535,0.0142388095987742,0.0394326723190859
"Cds1",9.25423136497205,-1.79739925245516,0.733336391757145,-2.45098875858106,0.0142464402447777,0.0394468547133451
"Gm48146",9.8827260253788,-1.34244965564605,0.547811783529835,-2.4505673225865,0.0142631287487358,0.0394861079255686
"Cacna2d4",4.89033814698305,-1.74710063442193,0.713104352604533,-2.4499929470923,0.0142859012950195,0.0395421874372974
"Gfpt1",145.333077979884,0.470580376587132,0.192107184363743,2.44957198319099,0.0143026118191089,0.0395814709831994
"Cep131",8.60805001452758,-1.27542290198453,0.520702183632999,-2.44942875615723,0.014308301269441,0.0395902460225917
"Rab3ip",72.635376949984,-0.535099710001415,0.218542087328521,-2.44849729652775,0.0143453506534498,0.0396857738334351
"Flrt3",19.2320980818129,1.29681470822901,0.529870368603414,2.44741881235412,0.0143883537171698,0.0397908799657464
"Gm20513",2.04581769472492,-2.89759913825701,1.18394150143678,-2.44741749042551,0.0143884064969338,0.0397908799657464
"Gm9887",5.84470742980363,-1.68713214841378,0.689396001298242,-2.44726129138644,0.0143946441543059,0.0398011277856701
"4930417O13Rik",5.80978701697993,-2.05252191869355,0.838963353245394,-2.44649770547629,0.0144251715581955,0.03987852123167
"Kntc1",21.4240189408926,0.868914057138778,0.355278754388724,2.44572479047837,0.0144561300623251,0.0399570790310689
"Cep192",106.034272163904,0.538287184014453,0.22015473787194,2.44504019862414,0.014483599768387,0.0400259677846827
"Fam169b",171.414622425358,0.399082162117824,0.163247490893565,2.44464499842157,0.0144994783874681,0.0400628055497647
"Gldc",1.50644340099818,3.20904902223885,1.31273045098357,2.44456051113499,0.0145028749652938,0.0400651479050004
"Gm5750",6.4845914694955,1.66031926058082,0.679474120874962,2.44353568380621,0.014544131220031,0.0401720609115563
"Bag5",104.005488617231,0.366523788934813,0.150039328807264,2.44285143001166,0.0145717346560799,0.0402270981838637
"Pla2g7",709.41558902265,0.485780299669085,0.19885545640486,2.44288141975878,0.0145705238745745,0.0402270981838637
