"","baseMean","lgFC_PcDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Msmo1",84.9602115607262,1.4752656654661,0.216185863745027,6.82406166578058,8.85018624569682e-12,2.59907480531762e-10
"Cd160",25.0820438920668,-3.09193980349713,0.453987685317874,-6.81062483298904,9.71757477689061e-12,2.84859710248122e-10
"Kel",16.8580083005864,-6.8981726454799,1.01334158341073,-6.80735179371783,9.94116344924514e-12,2.90883150544033e-10
"Hba-a2",5186.20199598908,-4.49017024290886,0.659799035341558,-6.8053604240031,1.00796562318538e-11,2.94399268560909e-10
"Gpr171",152.336772598812,1.08419307808888,0.15942502167449,6.8006456370604,1.04151321966921e-11,3.0364552378886e-10
"Psmb1",1400.65395964009,-0.52996390576812,0.0779674627631163,-6.79724447848555,1.06639051741082e-11,3.10335095501583e-10
"Bst1",135.961749515199,1.4148564566307,0.20827635923377,6.79316875825867,1.09696931618516e-11,3.18656692499068e-10
"Tmem109",179.430986662266,-0.851065441606091,0.12530667736898,-6.79186025418287,1.10696752331333e-11,3.20980619034393e-10
"St3gal6",62.5960641427348,-1.3936621892843,0.205488155078704,-6.78220206293889,1.1835777233579e-11,3.42576442306691e-10
"Car4",20.3523968467513,5.311248383151,0.784091908335015,6.77375742140893,1.25479999760185e-11,3.61238479596347e-10
"Ccl5",4015.70752222674,-1.18656155271945,0.175160838553,-6.77412578360327,1.25160746696341e-11,3.61238479596347e-10
"Tram1",227.408337775826,0.725048142035925,0.107034111502819,6.77399131786909,1.25277193481493e-11,3.61238479596347e-10
"Sowaha",6.27554571682248,-7.35323400059456,1.08624939546212,-6.76937914194767,1.29336201664411e-11,3.71673836053148e-10
"Cldnd1",222.403515700938,1.3306322668778,0.19707162720995,6.75202354451668,1.45797208427228e-11,4.18229706459819e-10
"Cx3cl1",101.820510257849,2.76448023939369,0.409821242151366,6.74557576586682,1.52421371426427e-11,4.36452212227116e-10
"Glrx5",227.517559626925,-1.30459392076773,0.193430803699246,-6.74449930320385,1.53555626835022e-11,4.3891772054765e-10
"Brk1",492.920985492968,-0.889265862204263,0.13187734854559,-6.7431281566663,1.55012363143186e-11,4.42294600627379e-10
"Bin1",314.864116779642,-0.692537818524872,0.102835923550626,-6.73439586686781,1.64612444526836e-11,4.68853600865087e-10
"Rnase6",155.198803156762,-1.07661058241004,0.159905507760591,-6.73279236899036,1.66437493591966e-11,4.73212725143601e-10
"Fam234a",50.9022200704691,-1.51888091658872,0.225661937545224,-6.73078026853476,1.68755651144016e-11,4.789559681939e-10
"Nfkb2",589.519639045222,-0.822591325137362,0.122374638163012,-6.72191017260952,1.7935751915744e-11,5.0814800489332e-10
"Ptms",258.931824516912,-0.881266706340447,0.131115060899573,-6.721323243067,1.8008159736695e-11,5.0930119368005e-10
"Adgre4",31.3949216803664,-3.64680563071359,0.542606455132174,-6.72090351344099,1.80601160399493e-11,5.0987294211906e-10
"S100a13",150.173735922917,-1.33421244587479,0.198531334838077,-6.72041240725538,1.81210940669718e-11,5.10696938757604e-10
"Cd209d",7.33652305317315,-7.64728659287781,1.13827923372264,-6.71828701281677,1.83873252960962e-11,5.17292458067407e-10
"Ezr",816.940782445795,-0.725345758357126,0.108055963350705,-6.7126860551227,1.91073930493058e-11,5.36610422979104e-10
"Dgat2",188.573381698486,2.07404478987291,0.309093319080896,6.71009258964311,1.94500959155e-11,5.45281572053388e-10
"Tns1",15.8811960050499,-2.57561474571491,0.384020766255172,-6.70696736228968,1.98710684048827e-11,5.56112966648146e-10
"Ctla2a",41.5663622930997,-5.13155176392853,0.76529269517125,-6.70534528332358,2.00930683001212e-11,5.61347911605472e-10
"Tmsb10",431.965169179618,-2.28625032441792,0.341364175407951,-6.69739383661367,2.1216925898725e-11,5.91716488953331e-10
"Mgl2",20.4326068480898,2.38115674026488,0.355769167147818,6.69298230466256,2.18667590638382e-11,6.08782699482662e-10
"Ccn3",10.0281783721877,7.40476507761612,1.10651182402111,6.69198911106696,2.20157252608452e-11,6.11869568495187e-10
"Pdia3",409.149054806898,1.30276510227929,0.195053196289282,6.67902463052782,2.40537738347198e-11,6.67357207048254e-10
"Neurl3",270.815522470359,-0.947154903877107,0.141905780969247,-6.67453360538122,2.48019643798413e-11,6.86928889306502e-10
"Scart2",38.7669545111219,-1.41288988356932,0.211780158441304,-6.67149318410257,2.53213718755463e-11,7.00107603801678e-10
"Zwilch",35.2534735745077,1.8630704434352,0.279448529608637,6.66695382525146,2.6116721498043e-11,7.20857412619523e-10
"Mreg",137.015596546367,1.54670859202892,0.232145284917207,6.6626750251703,2.68887796236831e-11,7.4089426393627e-10
"Tlr13",45.3441146140757,-1.4167560378581,0.212824987209458,-6.65690648656664,2.79650986490359e-11,7.69231754620055e-10
"Wee1",25.6746949564216,1.9470088040831,0.292533010789292,6.65568921206469,2.81975535547781e-11,7.74300000519582e-10
"Cd300c",8.61258613752192,-4.17866464642772,0.628422787919172,-6.64944799386425,2.94194273392482e-11,8.06473857982395e-10
"Irf5",457.597284184797,-0.932545236652148,0.140252174793733,-6.64906079369984,2.94969154517596e-11,8.07220527797387e-10
"Pimreg",55.9329410802409,1.46743847664065,0.220822761719899,6.64532254379651,3.02553783854639e-11,8.26568704734851e-10
"Mpzl1",11.349098308768,-3.25944055008086,0.49075677393411,-6.64166186429141,3.10165876476026e-11,8.45926084840556e-10
"Snrnp25",194.590692351926,-0.737065018239306,0.110992744113315,-6.64065947848642,3.12282742731677e-11,8.50255928685026e-10
"Fut8",144.473053172037,1.2242947938447,0.184370825907491,6.64039328249792,3.12847274825707e-11,8.50351712825745e-10
"Dapl1",18.9325988694823,-2.44863694290363,0.368902681425369,-6.63762305397882,3.18781808405716e-11,8.65018744971186e-10
"Kcnj10",10.9774422179865,-7.6819962841604,1.15789445318449,-6.63445296160896,3.25708193902655e-11,8.82323174848609e-10
