"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Ppfibp2",718.651893420919,2.49220419116812,0.214244498788511,11.6325236132587,2.81645911288238e-31,1.83474506002999e-29
"Rapgef2",131.309138384669,3.72579873969935,0.320974633638209,11.6077669361839,3.76315121576992e-31,2.43744680175726e-29
"Ppp2r5a",937.034792537739,2.13377534129255,0.183887055014182,11.6037278487492,3.94510812978334e-31,2.54078412790307e-29
"Susd3",72.9944150952091,-4.08594734213239,0.353911385255481,-11.5451141510546,7.81376664679847e-31,5.00390084415032e-29
"Slc7a11",412.070160066129,3.15804825318423,0.273803486563536,11.5339957603184,8.89187519380416e-31,5.66232614167248e-29
"Mical1",109.582573838988,-2.8870820629961,0.25051086236642,-11.5247779506391,9.89670189114004e-31,6.26698971709901e-29
"Fndc3a",330.789076931234,2.51866801091441,0.218728515859605,11.5150418362966,1.10805751919242e-30,6.97768443335892e-29
"Abracl",541.687199902276,2.50303002915081,0.217713279638844,11.4969102174336,1.36722530482598e-30,8.5621540498356e-29
"Plagl2",342.234585612046,2.26946483289665,0.197520441137735,11.4897719943533,1.48503360642506e-30,9.24882193891654e-29
"Dcbld2",283.614960921489,3.66515624029028,0.319460393680502,11.4729597558684,1.80382200981734e-30,1.11728538149069e-28
"Ifi205",209.039572048893,7.44549588461332,0.651871278317251,11.4217271603578,3.25696096022154e-30,2.00639415674517e-28
"Tgm2",1501.76207108083,2.97772654698843,0.261598033583524,11.382832302666,5.09187012365516e-30,3.11980258657466e-28
"Lox",115.62483672223,4.23523668143064,0.372380184557507,11.3734211890552,5.67199456237223e-30,3.45656227766071e-28
"Axl",1018.15231009118,2.17811736920834,0.191989926819277,11.3449565052371,7.85652979424454e-30,4.76223343410491e-28
"Gas7",162.852851214066,2.75108943895909,0.243149168124265,11.3144102452907,1.11348533298581e-29,6.71348736669903e-28
"Rbpj",354.105734348722,2.10460745853586,0.187049297397303,11.2516191604053,2.27379149541039e-29,1.36367336510459e-27
"Mxd4",81.931294077969,-3.11211142891181,0.277319589187425,-11.2221117809622,3.17594448203496e-29,1.89470161599296e-27
"Ccnd2",279.750773142687,4.90633039705108,0.438256732510435,11.1951055924378,4.30888583802975e-29,2.55713198817106e-27
"Pim1",802.997531037006,2.68819608458819,0.240253489238579,11.1889991404817,4.61614673845694e-29,2.72520954585466e-27
