"","T_PimedMoDC_1","T_PimedMoDC_4","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_1","T_PimedCD11c_4","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_2","T_PCD11_LMoDC_1","T_PCD11_LMoDC_4"
"Ccl5",1.78,1.58,1.52,1.73,-0.64,-0.45,-0.37,-0.32,-0.75,-0.54,-0.85,-0.86,-0.43,-0.53,-0.32,-0.56
"Cxcl16",1.74,1.43,1.6,1.82,-0.84,-0.7,-0.43,-0.33,-0.76,-0.75,-0.73,-0.6,-0.34,-0.46,-0.27,-0.36
"Cd200",1.36,1.62,1.59,1.85,-0.77,-0.58,-0.92,-0.19,-0.81,0.1,-0.39,-1.06,-0.5,-0.45,-0.35,-0.49
"Tff1",1.52,1.76,1.47,1.78,-1,-0.61,-0.6,-0.77,-0.64,-0.09,-0.2,-0.63,-0.37,-0.63,-0.67,-0.31
"Tnfsf15",1.77,1.77,1.51,1.58,-0.78,-0.65,-0.13,-0.54,-0.73,-0.46,-0.63,-0.61,-0.43,-0.47,-0.7,-0.51
"Il12b",1.86,1.6,1.43,1.76,-0.72,-0.69,-0.47,-0.74,-0.51,-0.43,-0.34,-0.42,-0.58,-0.57,-0.61,-0.57
"Ptprf",1.78,1.38,1.41,1.88,0.04,0.03,-0.72,-0.74,-0.54,-0.61,-0.65,-0.44,-0.8,-0.68,-0.58,-0.76
"Lif",1.06,1.54,1.67,2.08,-0.31,-0.05,-0.49,-0.71,-0.23,-0.54,-1.02,-0.4,-0.99,-0.47,-0.29,-0.85
"Ccl17",1.49,1.71,1.47,1.66,-0.8,-0.33,-0.4,-0.7,-0.07,-0.34,-0.13,0.09,-0.96,-0.95,-1.02,-0.72
"Cx3cl1",1.63,1.66,1.51,1.75,-0.81,-0.48,-0.67,-0.44,-0.28,-0.54,-0.2,-0.15,-0.75,-0.92,-0.72,-0.6
"Cdh23",1.5,1.6,1.65,1.77,-0.59,-0.55,-0.52,-0.38,-0.02,-0.99,-0.32,-0.9,-0.57,-0.63,-0.75,-0.29
"Tnfsf12",1.51,1.73,1.57,1.67,-0.8,-0.35,-0.41,-0.52,-0.13,-0.91,-0.14,-0.68,-0.44,-0.37,-0.61,-1.12
"Wnt11",0.56,1.68,1.97,1.74,0.07,-0.94,-0.68,-0.7,-0.88,-0.48,-0.87,-0.04,-0.47,0.15,-0.06,-1.04
"Pdgfc",0.41,0.88,2.06,2.43,-0.68,-0.66,0,-0.58,-0.64,-0.66,-0.71,-0.7,-0.38,0.32,-0.62,-0.46
"Cxcl9",0.86,0.92,2.02,2.32,-0.78,-0.76,-0.66,-0.67,-0.74,-0.37,-0.12,-0.44,-0.45,0.11,-0.71,-0.53
"Fgf1",0.6,1.23,1.33,2.6,-0.21,-0.17,0.05,-0.72,-0.79,-0.82,-0.87,-0.86,-0.46,-0.53,-0.76,0.36
"Fn1",1.78,1.27,1.56,1.73,-0.19,-0.19,-0.21,-0.5,-0.7,-0.67,-0.89,-0.91,0.22,-1,-0.63,-0.66
"Dscam",1.01,1.71,1.72,1.73,-0.09,0.4,-0.48,-0.5,-0.67,-1,-0.21,-1.08,-0.33,-0.82,-0.88,-0.51
"Vegfa",1.15,1.38,1.56,1.64,-0.46,-0.67,-1.17,-1.65,0.37,0.15,-0.08,0.22,-0.81,-0.3,-0.87,-0.45
"Nrg1",1.44,1.06,0.97,1.55,-0.05,-0.22,-0.6,-1.25,0.19,0.42,0.73,0.25,-1.49,-0.77,-1.55,-0.67
"Jag1",1.54,1.46,-0.04,2.27,-0.67,-0.25,-0.19,-0.64,-0.87,0.93,-0.5,-0.77,-0.42,-0.54,-1.18,-0.14
"Cxcl5",1.3,1.48,-0.2,2.02,-1.02,-0.44,-1.11,-1.15,-0.32,0.98,-0.22,0.1,-1.2,0.52,-0.55,-0.2
"L1cam",0.96,0.97,1.22,1.43,-0.75,-0.97,0.23,0.46,-0.92,0.33,0.16,0.85,-2.08,-1.09,-0.03,-0.78
"Gmfb",0.85,1,1.37,1.5,-0.37,0.52,-0.13,-0.74,-0.56,0.35,-0.99,0.66,-1.84,-0.9,-1.32,0.62
"Pkd1",0.74,1.59,0.54,1.21,-0.74,0.09,-0.18,0.25,-0.57,0.61,0.13,0,-2.61,-0.84,-0.89,0.68
"Rps19",-0.69,-0.09,0.19,0.15,-2.47,-0.19,-0.09,-0.26,-0.75,-0.87,0.18,0.26,0.99,0.26,1.88,1.5
"Saa1",-0.48,-0.64,-0.62,-0.61,-0.54,-0.52,-0.44,-0.45,-0.5,-0.52,-0.57,-0.56,1.03,1.55,2.45,1.43
