"","baseMean","lgFC_Treatment_6H_vs_Treatment_48H_Wash","lfcSE","stat","pvalue","padj"
"Sat1",371.694602679751,0.908089708669857,0.169758867486376,5.34929174608646,8.8299101683202e-08,8.95058344468372e-07
"Ppp2r2a",161.255315428861,1.36293703189542,0.254997191171253,5.34490997973422,9.04620005265366e-08,9.16309661721071e-07
"Psmd6",326.19800920174,1.03497468014944,0.193712987255824,5.34282545951664,9.15088674377446e-08,9.2623355478439e-07
"Echdc3",38.6185214667679,-2.44905282755179,0.458818933219684,-5.33773270942848,9.41160667131835e-08,9.51924674761789e-07
"Zmat3",57.5843854951083,-2.0946066797916,0.392458619170796,-5.33714021676267,9.44240187675311e-08,9.54339753052644e-07
"Nudt16",67.1303981478296,-1.15466209722652,0.216416025608296,-5.33538167509099,9.5343787676919e-08,9.62930376860011e-07
"Appl1",39.8164825190629,1.44437451232946,0.270897421309512,5.3318134419567,9.72368065860156e-08,9.81330639108026e-07
"Abhd17c",231.321880003301,1.65433513681521,0.310387967482724,5.3298945517509,9.82698076757685e-08,9.910308967068e-07
"Samd1",82.7070857004467,-1.60303663640303,0.300775313021387,-5.32968154965911,9.83851265269488e-08,9.91469105599551e-07
"Rfc2",115.385099552518,-1.09872086353625,0.206191828454301,-5.32863436816439,9.8953975927377e-08,9.96473760506638e-07
"Prdx5",5200.85772643151,1.05518483481249,0.19812493655603,5.3258557612917,1.00478843700977e-07,1.01109126746804e-06
"Denr",80.9305137598239,1.2907303174463,0.242495941480253,5.32268832858555,1.02244841085301e-07,1.02811211925132e-06
"Garre1",87.0953730758572,0.982818777419622,0.184831068959765,5.31738945703749,1.0526659708435e-07,1.05772612773175e-06
"Trim13",13.8204117317195,2.45663124527159,0.462012498698509,5.31723979803995,1.05353185077872e-07,1.05782572149514e-06
"Endog",25.2439012510898,-1.97470456052736,0.371413481746026,-5.31672827610946,1.0564965635383e-07,1.06003102476904e-06
"Susd6",592.174686894749,0.964960636278416,0.181543267999592,5.31532040218966,1.0646981685691e-07,1.06748371610315e-06
"Nceh1",226.580840533223,-1.29038213497117,0.242880943575608,-5.31281753098705,1.07943110367844e-07,1.08146924519591e-06
"Tbc1d5",66.2214550362701,-1.08184174190934,0.203931522191048,-5.30492652771867,1.12718386996397e-07,1.12849264659093e-06
"Mllt3",35.5325988496381,1.43775362273926,0.271058538507082,5.30421816135371,1.13156920984178e-07,1.13206155322532e-06
"Abhd17a",327.417916760135,-0.835673565057593,0.157579203280242,-5.30319704416462,1.13791978649619e-07,1.13758995467402e-06
"Mmgt2",62.7643493117162,-1.07848894203143,0.203457487465896,-5.30080733554823,1.1529170624177e-07,1.1517482833537e-06
"Rtp4",965.567488131758,1.8677497863109,0.352417920278244,5.29981501745501,1.15920067182294e-07,1.15635086539908e-06
"Slc12a4",182.278286330772,1.32276641905316,0.249584524263894,5.29987355167327,1.15882910040323e-07,1.15635086539908e-06
"Fut11",24.4664583279195,-1.93162480154964,0.364785121423727,-5.29524009644545,1.18860136420681e-07,1.18482257374257e-06
"Ptpn7",232.62787445604,-1.31881643931072,0.249095977610118,-5.29441082093633,1.19400738835101e-07,1.18935205268523e-06
"Uba1",672.95394002298,0.766660519676424,0.144820700262783,5.29386005098227,1.19761098195011e-07,1.19208088794976e-06
"Pkd1",75.5421752976154,-1.06197074408352,0.200687493554548,-5.29166379665243,1.21208562941408e-07,1.20561884235015e-06
"Tspo",1727.07257899173,0.977629543040811,0.184824118716563,5.28951280725465,1.22642594916076e-07,1.21900377482867e-06
"Tgfbi",677.272760118635,-2.29418757392998,0.433967259716368,-5.28654529244767,1.24647964389679e-07,1.23804414450685e-06
"Cnpy3",212.579211540753,-1.51929168171871,0.287433602875485,-5.2857135231223,1.25215721141579e-07,1.24278855314333e-06
"Itga2b",20.2717398266134,2.60619970075978,0.493312742735521,5.28305773393946,1.27045331887485e-07,1.25934300079019e-06
"Nrbp1",150.009704655385,0.793739523088302,0.150243303126122,5.28302763965458,1.27066211735282e-07,1.25934300079019e-06
"Cxcl9",3.2602793234002,6.6059532624336,1.25072103036851,5.28171598784683,1.27979487327372e-07,1.26748385295651e-06
"Pigo",23.3319341158255,-1.91601354007828,0.362885708593278,-5.27993661559636,1.29228583429842e-07,1.27893654017081e-06
"Gne",27.5115399614446,-1.73807221116534,0.329215599258604,-5.27943455619811,1.2958315066166e-07,1.28152626991273e-06
"St3gal5",334.649659055444,2.162785311273,0.409797390593435,5.2776941994214,1.30819535645894e-07,1.29282687232862e-06
"Mtm1",128.13164705134,0.859313213924704,0.162904974885755,5.27493536969845,1.32802881889879e-07,1.31148787297979e-06
"Hook2",103.850445931134,0.941783225952052,0.178584133182869,5.27361086994033,1.33765380690897e-07,1.32004806295537e-06
"Def8",104.772441459968,-1.39305460668016,0.264219791344204,-5.27233255159681,1.34700717228762e-07,1.32832815931951e-06
"Arrdc4",241.998558373027,1.19225002437922,0.226172452956282,5.27142014332609,1.35372186046647e-07,1.33318202816491e-06
"Mlh3",24.3813732648033,-2.25454186655241,0.427693094062019,-5.27140114688286,1.35386200453685e-07,1.33318202816491e-06
"Map4k1",140.873663118844,-1.76968849990435,0.335894540365495,-5.26858369885592,1.37480354158233e-07,1.35283806417046e-06
"Ccr5",226.983845878501,-1.27351735017526,0.241733081139609,-5.26827914562412,1.37708590201805e-07,1.35411811149259e-06
"Gm5431",46.53179522073,2.44239949522066,0.46391823320611,5.26471977258015,1.40403351047572e-07,1.37963292809993e-06
"Dnajc28",20.2438957039529,-2.67062740991194,0.507722532084175,-5.26001357266763,1.4404476884076e-07,1.4144068547524e-06
"Resf1",175.990304920196,1.05289249152115,0.200244872895788,5.25802471891055,1.45610950953142e-07,1.42876861973652e-06
"Rassf5",62.2482951507337,-1.62650477965176,0.309468026842321,-5.25580880276361,1.47375338564709e-07,1.44505342632461e-06
"Epm2a",10.3465891335695,-3.81948351691782,0.727339733707246,-5.25130601273485,1.51024532010632e-07,1.47978298552463e-06
