"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Tmem68",58.4876902163233,1.07030189363186,0.407719098681767,2.62509629078538,0.00866244659281532,0.0317406063305528
"Btbd6",33.1657878971204,-0.939880868777288,0.358118325757336,-2.62449810908074,0.00867767744510351,0.031787227578452
"Pvt1",3.75927315212885,-3.00097652982536,1.14366920283082,-2.62398998101665,0.00869063415531727,0.0318254938824704
"Eif2ak1",25.5659923140296,-1.10411628222768,0.420995450430657,-2.62263233747117,0.00872533743398906,0.0319433520034979
"Sh3tc1",189.050346695414,0.897661723578767,0.342483021770791,2.62104007065067,0.00876619576248993,0.0320836691330391
"Dele1",22.5452197427725,-0.97751565061301,0.373058356797196,-2.62027544163663,0.00878587720171109,0.0321395707363347
"Mrtfb",52.1033768115039,-0.890644882075052,0.339908396438069,-2.62024972436162,0.00878653984635874,0.0321395707363347
"Atg2b",64.8099681882771,-0.719116067748662,0.274490101065942,-2.6198251410746,0.00879748633577695,0.032170329323617
"Ankmy2",20.5234368153551,-1.11058429442532,0.423956127597136,-2.61957363541317,0.00880397633051788,0.0321847785231562
"Thada",16.5927494657165,-1.29677230712482,0.495136901192317,-2.61901769793794,0.00881833723663058,0.0322279848619206
"5930430L01Rik",4.85733967528223,-3.27135011388206,1.24935096307478,-2.6184396623275,0.00883329116833257,0.0322733329775563
"Socs6",97.5824325444967,-0.528600100754759,0.201891842854468,-2.61823406672154,0.00883861543960061,0.0322834821501747
"Zfyve27",105.83539348986,0.605818652533735,0.231464176584012,2.61733224326334,0.00886200367887007,0.0323595860140308
"Creb3",144.611390001161,0.521796692623932,0.199386883169931,2.61700611558896,0.00887047520235032,0.0323811933819169
"Oas1c",26.2546027583841,1.197334783897,0.457662027224961,2.61619866336094,0.00889148079390691,0.0324485300820817
"Pacsin1",10.830724634172,-2.13550459214417,0.81631838932939,-2.61601921512328,0.00889615510812662,0.0324562458880084
"Gstm1",1720.87550712562,0.750454544912791,0.287029642782694,2.6145541541887,0.00893439958147883,0.0325863975529311
"Rapgef5",4.56227639216397,-2.68410070260975,1.02666729826003,-2.61438219290582,0.00893889813583613,0.0325871836306233
"Trim35",443.471574447721,0.76278349488374,0.29176799802311,2.61434941478168,0.0089397558500795,0.0325871836306233
"Tmem97",41.6575695285611,-1.02333512904073,0.391451835603332,-2.61420444602975,0.0089435501690234,0.0325916438755041
"Fignl2",14.3310035665945,1.30713027043583,0.500033542104154,2.6140851770371,0.00894667291734859,0.0325936549557889
"Zfp407",25.4970252668124,0.95051843805693,0.363652490142882,2.61380978769997,0.00895388699115405,0.0326105657207271
"Vps13b",66.9411664704359,-0.749984912071324,0.286976104386953,-2.61340543901195,0.00896448868625649,0.0326398011385295
"Rbpj-ps3",7.57424073012122,2.63294838923679,1.00753205671478,2.61326512808132,0.00896817014434362,0.0326438303445272
"Sh3bgrl",590.42286601843,0.641068158537328,0.24536328866993,2.61273054340135,0.00898220887546108,0.0326855465336095
"Gm55276",17.9172630298414,-3.44132891780685,1.31723651429003,-2.61253683789784,0.00898730061861452,0.0326946907439871
"Apba3",49.4394046633923,-1.10123601834979,0.421607893594282,-2.61199098755377,0.00900166270993084,0.0327375444166676
"Dgkd",130.549499451116,-0.608972126285467,0.2332330299793,-2.6110029370176,0.0090277118443113,0.0328228651454484
"Chd3",75.2951878126601,-0.919944163844509,0.352354363795466,-2.61084935612864,0.00903176691602954,0.0328281940829766
"Gm8174",9.69530660429797,-5.8192898595609,2.22952312180635,-2.61010518466664,0.00905143868301485,0.0328902664440419
"Recql",28.0920960907314,-1.02552530201624,0.392952139755352,-2.60979696574427,0.00905959747959579,0.0329010532358394
"Tep1",261.986571071407,-0.640626226137289,0.245466095911743,-2.60983588693905,0.00905856684295068,0.0329010532358394
"Cnn3",13.4567164331912,1.71387686441447,0.656787608692547,2.60948416463923,0.00906788428278867,0.0329122922809032
"Cnnm3",6.26798415601061,-2.18548111215762,0.837496588575562,-2.60954031571012,0.00906639621672174,0.0329122922809032
"Tspan3",417.5334946709,0.528736279544385,0.202657717776071,2.60901131892059,0.00908042387444667,0.032948372604532
"Ppp2r1a",416.196604393596,0.522768749947768,0.200462604037918,2.60781182832926,0.00911230313838048,0.0330545863199965
"Trappc8",77.3400859876436,0.830736849095904,0.318601747579123,2.60744598988615,0.00912204601329219,0.0330804632026655
"Gm16580",43.252069742056,0.740831658435902,0.284215489983453,2.60658438594966,0.00914502868266277,0.0331543247465824
"R3hdm2",159.587120306274,-0.566770379979611,0.217549925210859,-2.60524281693167,0.00918091698310661,0.0332749186711908
"Mon2",167.763355288251,0.509771736901841,0.195767566802501,2.60396420728935,0.0092152379986055,0.0333835566869572
"Prdm4",68.1271208550288,0.697172767246143,0.267748742693183,2.6038320861325,0.00921879097342145,0.0333835566869572
"Zpr1",135.498828663642,-0.73623177719885,0.282749020929855,-2.60383493027725,0.00921871447639547,0.0333835566869572
"Gm8330",8.37924454643412,-5.21666736684253,2.00380643625699,-2.60337888553098,0.00923098764130696,0.03341817855982
"Psmb7",244.517357266338,0.579944134790127,0.22278932490618,2.6031055798313,0.00923834988364693,0.033425741959154
"Rps6kc1",90.3605494991649,0.783050088369611,0.30081303768829,2.60311220014681,0.00923817148529013,0.033425741959154
"Gm26569",6.47024056368642,-2.29890673174105,0.883217851936271,-2.60287620625102,0.00924453273713683,0.0334385694840002
"Tiprl",24.5680075163605,1.20788094247175,0.464162278826598,2.60228156739766,0.00926057865620322,0.0334870553917126
"Rpl10a-ps4",12.9900869293368,2.01666756481317,0.775056797429819,2.60196100660066,0.00926923907454294,0.0335088146527104
"Cep57",62.4255159769236,0.719898894784096,0.276690983321587,2.60181552048405,0.00927317197840036,0.033513476152269
"Nr1d2",11.2278505216885,-1.51109759135191,0.580848722092287,-2.60153381401744,0.00928079153942391,0.0335314548694261
"Ripk1",98.9632449736144,0.574833843058124,0.2210573782757,2.60038297541554,0.00931197733916241,0.033634543790855
"Ttyh2",84.212869166548,-1.10133016769583,0.423634977857201,-2.59971490849622,0.00933012369665261,0.0336904893836975
"Traf3ip1",15.263680317404,-1.27298959598174,0.489721437348715,-2.59941570635243,0.00933826099467153,0.0337102713241588
"Clcnkb",3.44756763232313,-3.58391497099261,1.37886793130588,-2.59917203788938,0.00934489263967203,0.0337246082794654
"Tmem106a",702.428850556526,0.679345267340567,0.261521654683053,2.59766354019092,0.00938604129389451,0.0338634694149102
"Sqor",180.227108126976,0.566453621274673,0.218115670368003,2.59703312613421,0.00940328550323994,0.033916032321501
"Zftraf1",104.520887986299,-0.669501783398801,0.257820132648065,-2.59677852354803,0.00941025785496893,0.0339315270435996
"2610507I01Rik",7.88941231897539,-1.83523146984122,0.707004924971688,-2.59578314806606,0.00943756072510734,0.034020299935431
"Snx29",8.2165760135963,-1.68550748174549,0.649510703399101,-2.59504188756964,0.00945793917206207,0.0340840684546342
"Gart",128.131348653556,-0.569769086701947,0.219578533243951,-2.59483055235156,0.00946375630343664,0.0340953402713753
"Eif3g",503.31267263145,0.374901936259329,0.144531463831936,2.59391226186758,0.00948906988624638,0.0341768261414294
"Med25",210.012503101913,-0.588019682615495,0.226712554372396,-2.59367940272782,0.00949549846815417,0.0341902668501161
"Ran",68.2345656227093,0.731698252428701,0.28215033116854,2.59329219780936,0.00950619669960667,0.0342190692099981
