"","baseMean","lgFC_LMoDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Tmem238",46.8365863736681,-1.21833532381061,0.228493382471202,-5.33203767493865,9.71167828177948e-08,1.03990375280171e-06
"Rnpep",209.587916582245,1.05694259095342,0.198245356512927,5.33148725167997,9.7411660788601e-08,1.04235118852009e-06
"Plod3",189.926085457113,1.01021900660116,0.189526658893024,5.33022115464698,9.80932396855718e-08,1.04893036368538e-06
"Tuba4a",954.426797388618,0.864598768827104,0.162248859889791,5.32884341630746,9.88401631562822e-08,1.05619886108334e-06
"Slfn1",281.249679023074,-0.959016373605889,0.180007594949235,-5.32764394678095,9.94949208010072e-08,1.06247327450478e-06
"Kif3a",19.8199549513089,1.76018159414132,0.330597282199347,5.32424701870341,1.01372073743408e-07,1.08178386094543e-06
"Atm",28.7580666324604,-2.02960759318393,0.38124535883348,-5.32362570758643,1.01719100677129e-07,1.08328085605948e-06
"Ccna2",160.611509264588,1.20266684298915,0.225906121253424,5.32374614869324,1.0165173981394e-07,1.08328085605948e-06
"Stk17b",757.606154965026,-0.902510162343108,0.169526152853476,-5.32372231158435,1.0166506811526e-07,1.08328085605948e-06
"Mrps34",147.766354356787,0.753807539324379,0.141603527196428,5.32336696866824,1.01863955521246e-07,1.08408904322171e-06
"Fth1-ps",20.5600920056633,2.27056507750412,0.426645266708158,5.32190382662156,1.02686859353898e-07,1.09196317149384e-06
"Kcnk5",34.9322557108654,-1.46899605153333,0.276033431647008,-5.32180483635,1.02742765483771e-07,1.09196317149384e-06
"Sf3b6",151.400392376188,-2.79365196799035,0.52535147178592,-5.31768181498264,1.05097646618003e-07,1.11623642377594e-06
"Entrep3",108.325403308171,1.10406173515402,0.207670810951117,5.31640306164118,1.05838566018642e-07,1.12334667065972e-06
"Dennd1a",73.2804459304732,-1.08573407298842,0.204249248810658,-5.31573104582094,1.06229960964019e-07,1.12674005154751e-06
"Hdac5",157.619121259829,0.794292971488172,0.14952223479342,5.31220639248448,1.08305837762209e-07,1.14798345501292e-06
"Pla2g2d",18.4619198737781,-5.94824963571963,1.12018732750143,-5.31004903348366,1.09595745221256e-07,1.16087299132947e-06
"5430405H02Rik",39.4384705113677,-1.18830278958241,0.223842494795759,-5.3086559398235,1.10436577070019e-07,1.16899161950413e-06
"Atp6ap2",211.702674188899,0.791970043088195,0.149214034202236,5.30761095846255,1.11071392574592e-07,1.17412993939477e-06
"Smad3",49.0732232971833,-1.14734332946536,0.216168012581397,-5.30764619503235,1.11049929304411e-07,1.17412993939477e-06
"Itga4",181.417011448425,-1.24667631404733,0.235111905492503,-5.30248058445123,1.14239619867597e-07,1.20680953272766e-06
"Ifi213",56.8138151536529,-1.48712066519617,0.280728234859616,-5.29736763364694,1.17484010759344e-07,1.24024927140774e-06
"Uba7",382.127821044995,-0.798795750415493,0.150795095198029,-5.29722634125791,1.1757492102838e-07,1.24037596217793e-06
"Rdh12",31.0680169070491,1.61974162967615,0.30584447147124,5.29596504355471,1.1838948619041e-07,1.24813167902552e-06
"Herc6",40.9488170045353,-1.52976967495959,0.288871580291365,-5.29567385416251,1.18578315101204e-07,1.24928454093554e-06
"Trim12a",312.147114606489,-0.685449991109536,0.129451904441038,-5.29501666328702,1.19005558336841e-07,1.25294599564421e-06
"Usp15",141.734973750712,-0.989964365913846,0.187046370176299,-5.2926146868328,1.2057980275419e-07,1.26867062884411e-06
"Tifab",19.0041394771624,-3.70868802169338,0.700814660903287,-5.29196694731417,1.21007765979346e-07,1.27232178824705e-06
"Pabir1",100.620588357139,1.04888142414924,0.198249885446335,5.29070380942626,1.21846555871225e-07,1.28028476720574e-06
"Nek8",28.2696446777751,-1.41494714846295,0.267456664694857,-5.29037909777745,1.22063088758853e-07,1.28170320120268e-06
"H2ac25",16.204264450474,-2.3269987286551,0.439881178062685,-5.29006205472036,1.22274867072477e-07,1.2830698501417e-06
"Mettl2",62.5844926350306,-1.28409934826087,0.242881847441413,-5.28693009291531,1.24386147179277e-07,1.30435346731892e-06
"Luc7l2",152.280379903973,-0.920731846496741,0.17437437387861,-5.2802015916496,1.29041829125725e-07,1.35227234135151e-06
"Fbxo8",68.8942701612413,-1.29927136078741,0.246147298686419,-5.27843030462269,1.30295205105026e-07,1.36449722121646e-06
"Nrg4",9.11369989938631,3.71790544425748,0.704434313473261,5.27785965724198,1.30701501862303e-07,1.36784081742579e-06
"Add2",14.240055221084,-5.6361000820785,1.06807083446954,-5.27689728076668,1.31389484918162e-07,1.37412595703832e-06
