"","baseMean","lgFC_CD3_CD28_vs_Naive","lfcSE","stat","pvalue","padj"
"Zfp395",25.2796313962215,-1.12871795889418,0.285600562091767,-3.95208591547345,7.74729136839014e-05,0.000368265229255653
"Zfr",123.748689062962,0.925108183445632,0.234083398901074,3.95204524450959,7.74860853389012e-05,0.000368265229255653
"Paics",324.366483303075,0.575710320146515,0.14569597702077,3.9514496688158,7.76792105328862e-05,0.000369073894705792
"Nampt",10.9658155750547,1.72307431392884,0.43627738667738,3.94949260847898,7.83170291519944e-05,0.00037199430996382
"Camkmt",10.2837640017469,-1.52558586176733,0.38629403334325,-3.94928663164656,7.83844455623315e-05,0.000372094483898727
"Twnk",31.6276453262346,0.969873711101497,0.245580302586577,3.94931393473456,7.83755060827713e-05,0.000372094483898727
"Copz2",3.36952994872749,-3.76556094468986,0.95354308040661,-3.94902026144865,7.84717101342037e-05,0.000372398685848109
"Gm13570",3.54414599693574,-3.44922770657646,0.873469286340495,-3.94888264592269,7.85168298315412e-05,0.000372502762673916
"Ciao3",65.7968336810403,-0.740789047700635,0.187601849285687,-3.94872998598502,7.85669108016661e-05,0.000372630308567453
"Polr3a",53.6742106867497,0.709310680761928,0.179721855883258,3.94671353284197,7.92312602107992e-05,0.00037567029634778
"Lypd6b",2.76888722548575,-4.8704798287044,1.23424057383748,-3.94613492048894,7.94228707333525e-05,0.000376467688244489
"9530068E07Rik",279.986129034431,0.546002692530812,0.138390240995701,3.94538436093752,7.96720751958599e-05,0.000377537526827815
"Eif2ak1",25.3264037946867,-0.939860245592051,0.23825782109031,-3.94471938545851,7.98934809965258e-05,0.000378425392468599
"Uap1l1",102.200976293682,-0.777021520582381,0.196979599774206,-3.94468016725117,7.99065569754413e-05,0.000378425392468599
"Nsg2",61.9528289459108,-0.788326582241832,0.199889148339217,-3.94381880553125,8.0194259459052e-05,0.000379675975228474
"Creb3l1",10.0452765890354,-2.48364236572866,0.629955153905531,-3.94257011841372,8.06130712201412e-05,0.000381482232188221
"Nhsl2",48.2320919041332,-1.04888215583528,0.266042249639789,-3.94253979304198,8.06232680701576e-05,0.000381482232188221
"Slc6a13",32.0893000545405,-1.58284200897047,0.401676691822526,-3.94058714681365,8.1282414502498e-05,0.000384487840567764
"Fgf1",2.1995929801091,-4.83352907404421,1.22727047466016,-3.93843832622361,8.20136684721165e-05,0.000387832667158104
"Raver2",2.62501122987642,-4.54246395485432,1.15383038041123,-3.93685591224887,8.25561422855569e-05,0.000390283069357029
"Dhx29",73.8995615911336,0.670075026267236,0.170208969138633,3.93677859432582,8.25827346647784e-05,0.00039029392458223
"Sfswap",231.671063781193,0.452743128713568,0.115018962583112,3.93624771555749,8.2765541467802e-05,0.000391042840629051
"Otulin",392.739272852519,-0.638644595722925,0.162294574770275,-3.93509516030906,8.31637383676811e-05,0.000392769613400188
"Sbds",281.72909883735,0.559943449696721,0.142296456786646,3.93504843578979,8.31799193717281e-05,0.000392769613400188
"Itpripl1",23.5874113153533,-1.24400902196957,0.316147221460291,-3.93490417604642,8.32298962329621e-05,0.000392890112573113
"Retreg2",143.553179650769,-0.79447534216511,0.201969592603388,-3.93363838548329,8.36696310227212e-05,0.000394849868610162
"E2f4",350.272857729931,0.445088036927857,0.113237959272017,3.93055508761581,8.47499723578385e-05,0.000399830706595101
"Gm2447",4.64163575850152,-2.98084681794167,0.758392849661793,-3.93047853664627,8.47769616314166e-05,0.000399840608234609
"Cyth2",169.136061987987,-0.482648065631103,0.122806717398255,-3.93014385415012,8.48950547267758e-05,0.000400280058447586
"Gas6",3.03078413195637,-3.39841094894635,0.864818706618175,-3.92962238552361,8.50793653556765e-05,0.000401031374728165
"1700062C10Rik",4.65861623161792,-2.53788884055702,0.646094378983317,-3.92804661843769,8.56386131292421e-05,0.000403549041158154
"Plod1",51.3104871247835,-1.19830356357343,0.305087074009858,-3.9277428172349,8.5746832358902e-05,0.000403940502936482
"Sp140l1",56.1723879564766,0.971468213703734,0.247446119702822,3.92597877416889,8.63777728768464e-05,0.000406793475078763
"Ctse",59.5326856282253,-1.01122295652995,0.257633523977283,-3.92504415154883,8.67138320184627e-05,0.000408256447111543
"Ccdc163",46.7106730377569,-0.911430155686612,0.232231082660569,-3.9246691064984,8.68490327243677e-05,0.000408773179514867
"Clec5a",116.201710306133,1.20929167385539,0.308133534305171,3.92457015943525,8.68847355306138e-05,0.000408821438653714
"Eif4h",945.092112178906,0.36941588017589,0.0941463716631528,3.92384617325059,8.71463917976873e-05,0.000409932544022854
"Slfn3",7.01878915146663,2.0500988980508,0.522528633231435,3.92341924952997,8.73010353128253e-05,0.000410539763250944
"Utp15",29.1769628026077,1.03516271260381,0.263854040852773,3.92323994454729,8.73660617915535e-05,0.000410725319467227
"Cab39",259.641560683875,-0.424020097476486,0.108127038399508,-3.92149922676894,8.79997309478176e-05,0.000413583287871779
"Klc3",6.27066159612239,-2.36267364364794,0.602504709094307,-3.92141938143445,8.80289007452039e-05,0.000413599374545468
"Pde1b",36.4472222659553,-1.21134722068503,0.308972560933428,-3.9205656872101,8.83413512944619e-05,0.00041494604303925
"Zfp330",105.558129641357,0.566845472572115,0.144661053716109,3.91843870904276,8.91243847666698e-05,0.000418501641885935
"Pla2g1b",3.41024279446058,-3.50364432616518,0.894187570813921,-3.91824315224605,8.91967059430519e-05,0.000418718844029569
