"","baseMean","lgFC_LMoDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"AB124611",502.477514669862,-1.12167392599989,0.126592981432253,-8.86047483288131,7.96743477676688e-19,8.63724877627576e-17
"Irf1",1287.80084379601,-1.20009572019825,0.13561023668013,-8.84959535192742,8.78371887279253e-19,9.45693677817984e-17
"Nudt9",248.904913106748,-1.05472630588836,0.119321421744662,-8.83937092323107,9.62590463225259e-19,1.02931697220666e-16
"Pde4b",320.077087457099,-1.39854405903575,0.158284513531562,-8.83563418702283,9.95319806760108e-19,1.05712378665285e-16
"Klrk1",57.294909715452,-3.0164327609518,0.341485270325244,-8.83327341785146,1.01656134690597e-18,1.07243810818893e-16
"Ccnl1",659.059895545575,-1.0712462199627,0.12135699321476,-8.82723106089952,1.07298984230114e-18,1.12442182207544e-16
"Arhgef18",188.876413921538,-1.32480094801406,0.150412001303821,-8.80781411410154,1.27609819616745e-18,1.32840977122888e-16
"Rad23a",361.613520043232,1.02837486233429,0.116801183779,8.80449006647132,1.31448836666861e-18,1.35937122603052e-16
"Ptges3",204.116574902264,1.18257030072792,0.134425773324301,8.79719916414372,1.40273221595331e-18,1.44114690866471e-16
"Thop1",44.1239667582232,2.0338736637603,0.231329558064569,8.79210456621632,1.46784057329953e-18,1.49824584231788e-16
"Psmd11",165.089218650634,1.24302641260171,0.141568029091933,8.78041758845494,1.62868816493115e-18,1.65169995255179e-16
"Trbc2",7418.5889081189,-0.988090547357892,0.112572464556569,-8.77737332348589,1.6733681868183e-18,1.68613298260236e-16
"Ipo4",173.025100517957,1.16890475362854,0.133279135050065,8.77035068684571,1.78110678893021e-18,1.78326226848369e-16
"Atp5me",727.451940493379,-0.86085048231346,0.0984800475296397,-8.74136948455847,2.3030147777307e-18,2.28082399290632e-16
"Stk10",278.953777190742,-1.12297983757383,0.128470198760683,-8.74116992428522,2.30708705943193e-18,2.28082399290632e-16
"Kif21b",251.960987825007,-1.25663354719056,0.143906519223131,-8.73229061459068,2.49565977504268e-18,2.45182975024349e-16
"Pdlim4",29.4950054258337,-2.56888357680188,0.294272157985129,-8.72961816840211,2.55533844344688e-18,2.49486739084109e-16
"Thap12",130.624011242777,-1.52556198527683,0.1752260975066,-8.70624870943879,3.14097224481999e-18,3.04771251335342e-16
"Dusp5",294.417812933738,-2.17193373987869,0.249567148176262,-8.7028030562128,3.23785537300304e-18,3.12244469989171e-16
"Tubb4b",1006.71205285983,1.3104759082212,0.150633406423279,8.69976945577912,3.32559098569425e-18,3.18749784781268e-16
"Gdf15",129.654440949978,3.52262528193489,0.405051683991082,8.69673037086408,3.41583792929161e-18,3.25415493397181e-16
"Cblb",113.158748698599,-1.52908609514232,0.176091242196386,-8.68348746973458,3.83815226234207e-18,3.6344527356479e-16
"Vat1",69.0369000284811,2.10670891304452,0.242643286941578,8.68232927273097,3.87744972983173e-18,3.64967858103144e-16
"Ceacam15",47.5799527368517,-2.91711103832408,0.336380934337689,-8.67204630389552,4.24422990111793e-18,3.97113391759957e-16
"Alas1",841.225391757035,1.59277077903071,0.183893695303698,8.66136697291481,4.6614027682116e-18,4.33565621973481e-16
"Rrp9",129.478428861401,1.26976321571634,0.146820373446315,8.64841292738315,5.22205742500504e-18,4.82856003903848e-16
"Arap3",155.580371385995,1.53953246449672,0.178205440793446,8.63908788442187,5.66635760702235e-18,5.20874124121546e-16
"Fscn1",1116.12982100654,-1.55696192007684,0.180287421533614,-8.63599860063754,5.82162243660705e-18,5.32035366750152e-16
"Zmiz1",285.338020951091,-1.25879117802117,0.14648753261972,-8.59316254093084,8.46077193235957e-18,7.68756497137341e-16
"Prex1",360.376877157902,-0.89135722019616,0.103869129716213,-8.58154123974552,9.36103147886778e-18,8.45666975955877e-16
"Cd200",83.7217341351762,-1.75534680220914,0.204607550958479,-8.57909101588025,9.56257905329065e-18,8.58938172221004e-16
"Add3",467.981824939295,-1.24846545585334,0.147082520556644,-8.48819731351109,2.09867027580268e-17,1.87437489007626e-15
"Stip1",371.137518353251,1.18627883799058,0.139908604398107,8.47895555169038,2.27224458104713e-17,2.01793291352993e-15
"Adgrg1",111.935909868607,2.51346544866551,0.296922746876084,8.46504848520234,2.56046153100294e-17,2.26111768572108e-15
"Atp13a1",317.921947825768,0.86093918337903,0.101798789596187,8.45726345857528,2.73725028133433e-17,2.4037339202399e-15
"Cyth1",473.776723808259,-1.02230285660833,0.121207154315334,-8.43434418028409,3.33065188022941e-17,2.90858427251812e-15
"Tagap",200.915217748912,1.33610805441974,0.158949367994038,8.40587207915075,4.24693852716231e-17,3.68826666897593e-15
"Sgsm3",45.9728098389267,1.72326631342355,0.205661470721428,8.37914028028005,5.33156995208735e-17,4.6047773668605e-15
"Oasl1",806.27872161581,1.30266993247975,0.155569408217211,8.37356101953492,5.59027176869618e-17,4.80182961377788e-15
"Bop1",174.518027475415,1.21766189896321,0.145502116369349,8.36868857544481,5.82630061953609e-17,4.97737062165694e-15
"Polr1g",108.305457897292,1.21926083601401,0.145732097753531,8.36645361460511,5.93782801765261e-17,5.04522803294494e-15
"Abtb2",116.538643717284,-1.4128308855386,0.169641552325112,-8.32833033047798,8.19904710426994e-17,6.9290764210763e-15
"Ier3",556.963131769139,1.96058342712694,0.235443482462206,8.32719345901477,8.27814054762238e-17,6.95850755444258e-15
"Cebpg",168.332437607584,1.17775373670622,0.141465568845194,8.32537377342356,8.40630688876995e-17,7.02865627577526e-15
"Rpl13a",675.257104392077,0.833814399801511,0.100362304323678,8.3080435968507,9.72927853542316e-17,8.09177403694797e-15
