"","baseMean","lgFC_LcDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Eme1",25.4717030554893,1.06037666639155,0.264955753730109,4.00208959972872,6.27855118046428e-05,0.000319650942050073
"Ssu72",554.555284215994,-0.382683733268615,0.0956269975124472,-4.00183779919268,6.28523814070691e-05,0.000319894183011982
"Mmp8",121.513553213147,1.19611688104133,0.298904386557765,4.00167055029208,6.28968342461763e-05,0.000319956452515584
"Pygo2",144.985690137748,-0.509976748376024,0.127441678517457,-4.0016480817629,6.29028083907093e-05,0.000319956452515584
"Ap3m2",20.772378690894,-1.28218232678838,0.320462559125843,-4.00103628419469,6.30656854998321e-05,0.000320687575280633
"Bnip3l",77.0831447295998,-0.886279387204867,0.221554669531095,-4.0002740139967,6.32691811362523e-05,0.000321527185301155
"Klhl18",120.406336928905,-0.504496469303424,0.126113241410763,-4.00034495711858,6.32502159613948e-05,0.000321527185301155
"Eif4ebp2",261.057393550295,-0.516374559526353,0.129118179028766,-3.99923979265005,6.35462707730551e-05,0.000322739547378763
"Nup107",102.922214804455,0.533218121314881,0.133328167444621,3.9992908590479,6.35325620951031e-05,0.000322739547378763
"Gm7669",8.07219876688704,3.37431086708303,0.84379637729601,3.99896344411455,6.3620504603026e-05,0.000323018652916273
"Poln",6.31962719182399,2.88413242706071,0.721299655460895,3.99852184210154,6.37392998905236e-05,0.000323523771483103
"Gm55276",12.9715013688609,2.52089946915232,0.630650310348463,3.99730155965421,6.40686605886534e-05,0.00032509703457386
"H2-K1",8165.47923252607,-0.294830475731475,0.0737874407098271,-3.99567288003538,6.4510760299881e-05,0.00032714218790088
"Slc2a4",1.70543122614602,-5.64118024043431,1.41180362426031,-3.99572585272964,6.4496335718481e-05,0.00032714218790088
"Ap1s3",64.9901561546719,-1.05255149751138,0.263601615959922,-3.99296299333539,6.52527554577228e-05,0.000330804816246338
"Il15",67.1783372512152,-0.946067828853855,0.237064045396777,-3.99076893870772,6.58594203192044e-05,0.000333779367044244
"Kcng2",1.51872258737197,-5.17058376483421,1.29569525679007,-3.99058631860993,6.59101554205775e-05,0.000333935486565399
"Lhpp",14.296531792623,-1.38590830962276,0.347304506158066,-3.99047027910429,6.5942412469211e-05,0.000333997920472077
"Haspin",13.6471344709164,1.71765915397032,0.430464610758806,3.99024475192629,6.60051480072604e-05,0.000334214643354986
"Oxr1",37.748991016718,0.924222578119449,0.231632874339307,3.99003198814346,6.60643848918273e-05,0.000334413525336123
"Kif2c",55.4186327648464,0.966813732288402,0.242376509916782,3.98889204494425,6.63826214048961e-05,0.000335922930123538
"mt-Nd4",508.748929392501,-1.74726429653604,0.438042928443916,-3.98879694906374,6.64092346591638e-05,0.000335956137292962
"Prkcsh",305.96171122156,0.569328205536618,0.142748360174123,3.98833447082795,6.65388064822748e-05,0.000336510021916847
"Msn",643.153239222399,-0.834729379234869,0.209313227735178,-3.98794375428085,6.66484593452028e-05,0.00033696286551867
"Apol7c",10.6140791777833,-1.92484419224515,0.482807070527434,-3.98677714090307,6.69768826643088e-05,0.000338518920049238
"Gm29243",1.92673527387591,-5.25374518310363,1.31781568563424,-3.98670712480942,6.69966421297089e-05,0.000338518920049238
"Mindy3",76.4504351717257,0.90022526826374,0.225810781926327,3.98663545019497,6.70168753654258e-05,0.000338519067454841
"Zfp780b",21.9232529155854,1.29532391846123,0.324962830473886,3.98606793451512,6.71772852947882e-05,0.000339227069051891
"Lasp1",478.054840069301,0.441877965276213,0.110857750594267,3.98599072150994,6.7199137829759e-05,0.000339235177564812
"Cul5",68.3796736162907,0.702117945039015,0.176166231261878,3.98554217803122,6.73262160207885e-05,0.000339774322116961
