"","baseMean","lgFC_MoDC_Treatment_48H_Wash_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Sipa1l1",185.355123447442,-0.907405909411536,0.383303060839427,-2.36733280298971,0.0179168134528815,0.0381813638616999
"Lrrc57",20.8506236207709,0.758886121427021,0.320678644264708,2.36650034231962,0.0179571576563017,0.038262207053906
"Fbxl20",50.5142666089307,-0.613781200831518,0.259407094018441,-2.36609258183157,0.0179769482976925,0.0382992399439577
"Zkscan6",31.9379699418628,-0.576954685607045,0.24385010704912,-2.36602186724005,0.0179803823712804,0.0383014204983609
"Cdc14b",27.4288246917473,-0.669780214472137,0.283168360768375,-2.36530738340503,0.0180151117007039,0.0383702560070354
"Dip2c",25.2726297027643,0.833246542239691,0.352301214898972,2.36515375764071,0.0180225867474216,0.0383810321444553
"Xbp1",610.020015005657,-0.735839304822655,0.311142824757134,-2.36495668957503,0.0180321795657677,0.0383963148111074
"Sun1",77.1702186414899,0.428926007565515,0.181420318790545,2.36426664017012,0.0180658048325511,0.0384627593440178
"Rac1",1001.60470752699,0.324221228554079,0.137142520047818,2.36411893584157,0.0180730094157404,0.0384729430073285
"Mrpl28",107.600594882813,0.389209558447938,0.164647661587531,2.36389363016263,0.0180840040114974,0.0384911908558181
"Tubb2a",508.101857296648,0.721327421122007,0.305153367718498,2.36381930343769,0.0180876323343858,0.0384937570534497
"Acer2",1.36247813265491,-3.06318253903272,1.29592603504571,-2.36370167447456,0.0180933757961059,0.038500823359358
"Rapgef3",5.84085158273559,-2.06632448650222,0.874294185847286,-2.36342013929754,0.0181071287823892,0.0385249289265376
"C8g",2.0929835616736,2.51529233296867,1.0642934898524,2.36334465723124,0.0181108176353681,0.0385276183436021
"Polr1b",16.7889156346989,-0.81786934122233,0.346216573041157,-2.36230557664582,0.0181616650427485,0.038630615242869
"Epm2aip1",5.68935926518174,-1.17205592269415,0.496164336474076,-2.36223330967962,0.0181652060715719,0.0386329754077373
"Exosc7",46.1303732079218,-0.497011584065305,0.21040991456838,-2.36211104921001,0.0181711981223062,0.0386405469707338
"Fam219b",21.2063484439534,0.683972811167293,0.289672252523533,2.36119547249949,0.0182161260633625,0.0387309015148891
"Mcoln1",136.307854296288,0.560477037373309,0.23741762083782,2.36072215446962,0.018239390199675,0.03877517673035
"Mrps16",182.608216916862,-0.365553715401472,0.154908720170085,-2.35980075879592,0.0182847524965334,0.0388664123635343
"Map3k15",14.3014719057322,-0.811486367623516,0.34389425353533,-2.35969737581017,0.0182898484216299,0.0388720440839055
"9130230L23Rik",8.36292141507561,2.13125311495435,0.90327529103737,2.35947239573741,0.0183009423733881,0.038890420405345
"Capn10",34.8501562297614,0.538549339285934,0.228278165596664,2.35918024782745,0.0183153572177235,0.0389158479315872
"Gabrr2",0.844004597652308,-3.63795313550884,1.54218672232427,-2.35895762999826,0.0183263480561819,0.0389339944196649
"Ubr5",119.055591671931,-0.388860508410315,0.164851107452346,-2.35885893895329,0.0183312223669548,0.0389391433407144
"Pigv",14.2840771918393,-0.882087700063735,0.373971943407416,-2.35870020629532,0.0183390644893128,0.0389505942615547
"Gm11964",5.31161019095258,-3.09725733491525,1.3134441450202,-2.35811880288798,0.0183678135721273,0.0390064407708541
"Akap3",0.939943780982816,3.88003184411911,1.64549771099961,2.35796854543303,0.0183752498754206,0.0390170179434128
"Rars2",37.2150964163999,0.599947434854667,0.254442585268119,2.35788924335316,0.018379175630341,0.0390201391756397
"Prox2",4.22304157247107,-1.55862598176401,0.661149115240895,-2.35745000005954,0.0184009331432849,0.0390611124533939
"Nectin4",6.26876741148086,2.01719289861239,0.855739932591801,2.35724993281881,0.0184108507609382,0.0390769446621088
