"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Treatment_48H_Wash","lfcSE","stat","pvalue","padj"
"Anapc13",173.447909223531,-0.779447411941216,0.173800633508166,-4.48472135117156,7.30092807535362e-06,2.83082185435791e-05
"Mfsd4b4",7.62283745714165,-2.89080667908802,0.644684185976567,-4.48406637229518,7.32338666379492e-06,2.83886404953157e-05
"Rbbp7",119.49796011362,0.924890685895302,0.206281593157047,4.48363167910556,7.33832832708943e-06,2.84398926938044e-05
"Bin1",277.827840983633,-0.760360846435663,0.16973743188033,-4.47962973171257,7.47726331933879e-06,2.89715477990692e-05
"Fcnb",5.16989142185338,3.59716861393611,0.803664364898807,4.47595883436869,7.60691418919809e-06,2.9466989758672e-05
"Ndufa2",690.08747999236,-0.899683395824867,0.201022600794448,-4.47553355826305,7.62207252625152e-06,2.95187924751737e-05
"Arsa",50.311838047051,-1.15110832668333,0.257216789254337,-4.47524568680121,7.63234966534248e-06,2.95516714325778e-05
"Lag3",3.75078540457701,4.94172273868761,1.1043110286108,4.47493741405823,7.64336982982694e-06,2.95874112377731e-05
"2810001G20Rik",14.2919779792895,1.76187852087987,0.393880729184967,4.47312699081677,7.70839668760929e-06,2.98321447650385e-05
"Rgs16",23.846208422858,-2.01894994531588,0.451367758308665,-4.47296003791044,7.71441987497757e-06,2.98484680067878e-05
"Cd82",313.566849312588,1.15465969348864,0.258164575478576,4.4725721619559,7.72843071527304e-06,2.98956820345365e-05
"Mrps6",118.724872762756,0.695309809764359,0.155467023319456,4.47239417670991,7.73486803177246e-06,2.99135843670863e-05
"Aatk",9.48328702436441,-4.11066631417078,0.919332114080057,-4.47136160176911,7.77231514959324e-06,3.00513766062266e-05
"Kcnn3",3.03388585749538,-5.85215897126109,1.3088649374044,-4.4711710154498,7.77924582982197e-06,3.00711412916639e-05
"Capn2",268.910392838755,-0.87589694632919,0.195912936665706,-4.47084792477879,7.79100853757468e-06,3.01095708629552e-05
"Epb41",458.927860745796,2.57134197556096,0.57519772224793,4.47036188792942,7.80873563579299e-06,3.01710274051333e-05
"Fbxo21",36.1498804614615,-1.38120221112259,0.309036727563433,-4.46937884054277,7.84470801785808e-06,3.03029340325345e-05
