"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Noc4l",61.5094200831391,1.57902382980596,0.344013912090659,4.58999992241545,4.43246174377359e-06,2.20825546295753e-05
"Rapgef4",14.2675978368968,4.36013321434073,0.94992332321683,4.58998437850282,4.4327918367385e-06,2.20825546295753e-05
"Ciao2b",260.767719839008,1.06612281655682,0.23230847498568,4.58925494053773,4.44830880867297e-06,2.21450997229633e-05
"Wdr74",116.352434685523,1.09721096268917,0.239136607511283,4.58821831633371,4.4704499539921e-06,2.22479044892738e-05
"Gars",369.423911126259,0.9802149373858,0.213649471520522,4.58795863340878,4.47601300902285e-06,2.22607444717314e-05
"Luc7l",120.351222739504,0.973332171672061,0.212147974987465,4.58798709593891,4.47540294726624e-06,2.22607444717314e-05
"Nr4a1",92.878579225127,3.77131173392058,0.822069345082742,4.58758346419182,4.48406178168307e-06,2.22933451337841e-05
"Lmbrd1",77.2457858314077,-1.13964466503433,0.248428864814917,-4.58740841521526,4.48782197456457e-06,2.2304609713745e-05
"Xrn1",75.7195875810491,1.20840397277582,0.263561525585336,4.58490278538231,4.54197711962464e-06,2.25662478396797e-05
"Slc25a16",40.340366051609,-1.30814168969505,0.285320812882465,-4.58480990741438,4.543996511741e-06,2.25687680325239e-05
"Pter",9.94332734215293,-3.10490026869935,0.677318018360987,-4.58410995209129,4.55924292714683e-06,2.26369596432689e-05
"Rnf216",193.419481606585,0.71206029674046,0.155339308827644,4.58390282610644,4.56376393029676e-06,2.26518711871231e-05
"2310040G24Rik",7.62889826922549,-4.4811926372988,0.977993378046303,-4.58202758616904,4.60489129524586e-06,2.28457634299874e-05
"Adgrl2",67.0726993144344,-2.12492326154047,0.463756325847732,-4.58198226764063,4.60588959201556e-06,2.28457634299874e-05
"Il2ra",31.7694669686786,4.20070783447486,0.916998301816202,4.58093305751489,4.62906010747614e-06,2.29530638219539e-05
"Gabpb2",64.6907479778317,1.10070819161125,0.24031943579537,4.58018798175149,4.64558194447794e-06,2.30273366062216e-05
"Il17f",27.9189818354519,6.79541674406779,1.48425411455181,4.57833781792799,4.68685343209424e-06,2.32241990285546e-05
"Bcat1",10.0742495889421,3.33012983217056,0.727495983416585,4.57752332395165,4.70513342822417e-06,2.33070416250401e-05
"Gfi1",13.9205948194746,4.82277735612893,1.05368227908622,4.577069816825,4.71534123844139e-06,2.3349856663483e-05
"Atp13a1",248.115816728964,0.994055126253039,0.217243037936525,4.57577437553366,4.74461677979345e-06,2.34870333129079e-05
"Traj27",11.572373750374,5.91064838486061,1.29175177631512,4.57568434836719,4.74665775107025e-06,2.34893458006377e-05
"Glg1",308.370667973756,-0.977504012342139,0.213649684305635,-4.57526541880482,4.7561662085525e-06,2.35285981646159e-05
"Alcam",326.011809479438,-1.11413994873895,0.243536773456174,-4.57483251062059,4.76601110532791e-06,2.35694883190918e-05
"Ldha",2166.6900090946,-0.894509091334833,0.195612654205297,-4.57285902575627,4.81113856074846e-06,2.37847774160883e-05
"Ap1b1",151.226642588228,-1.14948264740158,0.251381153274647,-4.57266836605572,4.81551996909787e-06,2.37985548141675e-05
"Clec12a",14.8000665398068,-5.29429341440073,1.15812144704962,-4.57144924471284,4.8436261627432e-06,2.39295334256677e-05
