"","baseMean","lgFC_MoDC_Naive_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Pced1b",28.2961393919297,-1.44404646312044,0.394368873524124,-3.66166439611798,0.000250581982536223,0.00107593316406247
"Gm37760",13.0021647110485,-2.02604396323798,0.553491025030153,-3.66048205231079,0.000251741187991394,0.0010802752184068
"Rexo4",115.619857453671,-0.638179762139254,0.174339963873659,-3.66054774797206,0.000251676646251395,0.0010802752184068
"Kin",55.0949123508725,-0.980065398425294,0.267805866917266,-3.65961138083681,0.000252598033864093,0.00108363369227889
"Ubr2",193.185463225607,-0.660949417513125,0.180653490508357,-3.65865843861207,0.000253538978712705,0.00108735086817669
"Ube2c",85.6904012725107,-2.38920635191433,0.653083128376244,-3.65834952413271,0.000253844708834381,0.00108834242017277
"Mindy2",195.35134370765,0.620618890731545,0.169664901280532,3.65790971525327,0.000254280580622666,0.00108989120012703
"Reps2",4.41692592518063,3.80395644877305,1.04002797118337,3.65755206030163,0.00025463555125775,0.00109109241637821
"Nfat5",59.2761084785141,-1.36319727280108,0.372748416562765,-3.65715107624485,0.000255034078329541,0.00109247950890182
"Stk38",252.497442819708,-0.835262791944101,0.228438500582686,-3.65640113121723,0.000255780998555739,0.00109535774836055
"Ercc2",64.2942165205899,-0.921343807507605,0.251986359975416,-3.65632412642293,0.000255857808781274,0.00109536545928846
"Tgm2",1088.05488809169,1.43378850369027,0.392302255514687,3.65480565950147,0.000257376864633991,0.00110154582480955
"Acyp2",16.0029290813107,1.81120895267384,0.495588597460728,3.65466227825664,0.000257520737621005,0.0011018386555756
"Zeb2os",40.5812230837092,1.56502734068611,0.428314222293801,3.65392335632644,0.00025826339030386,0.00110469252741865
"Batf",173.204718608209,-1.58475201291985,0.433865543935646,-3.65263394401955,0.000259564124501209,0.00110993115961674
"Mbtps1",156.264808153745,-0.755049243732314,0.206733110689212,-3.65228985920597,0.000259912267459094,0.00111109450869588
"Adpgk",134.637917535088,-1.26109877917363,0.345318930538762,-3.65198275462651,0.000260223363759534,0.00111209885308179
"Unc5cl",5.56360520349327,-4.47625221765579,1.22599145800718,-3.65112838953366,0.000261090671502294,0.00111547895726975
"4933412E12Rik",47.1563902356377,-1.81468719125494,0.497293751887898,-3.64912525919693,0.000263134784993813,0.00112361849413923
"Aqp3",3.80436374579668,-5.00841687798172,1.37250341537046,-3.64911068482104,0.000263149712384863,0.00112361849413923
"Oas2",245.842488819385,-2.03656312185656,0.558156919916351,-3.6487286087249,0.000263541326321995,0.00112496170367732
"Calm2",958.644517756348,0.778909815112775,0.21348736769019,3.64850540591759,0.000263770353740266,0.00112545750045259
"Cdc37l1",40.1174156699582,-1.09573472036621,0.300327577899835,-3.64846521264742,0.000263811615698775,0.00112545750045259
"Gm19253",3.91808257665636,4.23935323841917,1.16244739541326,3.64692050164734,0.000265401991589632,0.00113191158971478
"Cd209a",3.45469260497518,-4.50907399040914,1.23670025597436,-3.64605244369143,0.000266299651247805,0.00113480172191252
"Igha",289.92718423913,-4.23739232867588,1.16216468411569,-3.64612037053956,0.000266229305506356,0.00113480172191252
"Traf3ip2",51.4701929279589,-1.34138696420232,0.367902450014075,-3.64603976991998,0.000266312778264344,0.00113480172191252
"Xpnpep1",197.721745016356,0.544565341741923,0.149442403722311,3.6439814147651,0.000268452813258832,0.00114358705718166
"Mapk12",4.57724030448871,-4.32729614008626,1.18795991467541,-3.64262807745379,0.000269868626013046,0.00114928304043993
"Me2",70.1222839279292,-0.93258742182495,0.256211837890456,-3.63990762294005,0.000272735868881834,0.00116115507092753
"Mcm5",45.7645011875315,-1.24297834336683,0.341589527458512,-3.63880694064252,0.000273904033821829,0.00116578857647921
"Synj2",33.1796204837386,1.16335083307597,0.319727244594788,3.63857272954753,0.000274153208687144,0.00116650912192843
