"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Agl",20.6881811433967,-1.20702253141492,0.307301565133333,-3.92781120685543,8.57224595318247e-05,0.000586371167684494
"Eea1",194.923459601183,0.834774177504696,0.212879147292076,3.92135250504062,8.80533396450389e-05,0.000602010066793032
"Tmem165",366.994613154537,-0.852602335164409,0.217480846799098,-3.92035596565438,8.84182691570347e-05,0.000604198967363717
"Snu13",121.6094164303,1.06574249633631,0.271940405215825,3.91902959580605,8.89061983425916e-05,0.000607225735238672
"Tmem140",81.9434988364348,1.20810749839956,0.3083237867155,3.91830779995681,8.91727916750037e-05,0.000608738490867906
"Resf1",218.35173573583,0.938222933663117,0.239480052081787,3.91774983138343,8.93793931824213e-05,0.000609840389479251
"Nbr1",96.2399416575614,-1.05520767899972,0.269392447234734,-3.9169905831854,8.96612497542508e-05,0.000611145569032004
"Slc37a4",22.3182494937325,-1.33243620330939,0.340159347474114,-3.91709418895445,8.96227386577831e-05,0.000611145569032004
"Impdh1",70.2224169830572,-0.911794816073147,0.232804843621734,-3.91656291118517,8.98203843787842e-05,0.000611921205237795
"Slc9a9",10.365485307203,-1.94421446220467,0.496522395759532,-3.91566317815453,9.0156042050787e-05,0.000613898054246933
"Sema4d",784.974943438977,0.908182490440191,0.231960449495334,3.9152471570739,9.03116446597074e-05,0.000614647481758654
"2310022A10Rik",82.6472763374282,-0.736789875090314,0.188308065335027,-3.91268357932232,9.1276100953685e-05,0.000620898315761559
"Adipor2",188.402637425589,-0.635131932198681,0.162402153619237,-3.91085904986081,9.1968433158174e-05,0.00062529268206686
"Tlr13",171.557075486746,-0.862284857584378,0.220509026901146,-3.91042883686997,9.21324020005528e-05,0.000626092093353203
"Pdcd4",29.7120962498156,-2.33477693054993,0.597170246432157,-3.90973419137883,9.23977380465683e-05,0.00062757920114569
"Cd247",81.359822702389,2.19480381568433,0.561729468775826,3.90722569792796,9.33619369104497e-05,0.000633809205504743
"Hnrnpk",736.953787880598,0.483739135502727,0.123840968574531,3.90613171933969,9.3785402298372e-05,0.000636363896138174
"Crbn",39.587426379102,1.16364415800567,0.297974816694175,3.90517618540888,9.41567609623493e-05,0.000638562636154706
"Dennd1a",130.459099999612,1.290305991291,0.330863709822836,3.89981116992826,9.62677399207014e-05,0.000652551189336909
"Ntpcr",31.2672639486704,-1.2680791842849,0.325189951978465,-3.89950297224706,9.63903541090601e-05,0.000653054326835278
"Inpp4a",33.3153364400567,-1.46297559718892,0.375195781125118,-3.89923253614906,9.64980665790734e-05,0.000653456049448658
