"","baseMean","lgFC_cDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Rassf4",591.475735754273,1.17438169561293,0.224538085686048,5.2302115786939,1.69316145450529e-07,3.65701359505046e-06
"Snhg15",107.932343058995,0.828430829436513,0.158403005928552,5.22989336332532,1.69607844700313e-07,3.65701359505046e-06
"Fabp3",129.366198815993,3.34975820472747,0.641367106057271,5.2228406681467,1.76198992391453e-07,3.79028410428058e-06
"Adam15",87.124823078117,-1.37324413601904,0.262949587716557,-5.22246164348168,1.76560136870459e-07,3.79141286919553e-06
"Neil1",33.0061421717728,-1.29703044492336,0.248571030705669,-5.21794692342553,1.80917287422543e-07,3.87819727994955e-06
"Arhgap9",160.488238103699,-1.35158577349236,0.259201271815468,-5.21442570102276,1.84387587702484e-07,3.94570163719443e-06
"Map4k2",181.564807859585,-1.27141833451911,0.244181035730896,-5.20686764520197,1.92054976106562e-07,4.10262829829026e-06
"Cdk20",22.0816424689118,-2.39975486393401,0.461268369717066,-5.20251337720377,1.96611202198214e-07,4.19266561909837e-06
"Trim7",25.8777297963898,-1.54822082421971,0.298155769824719,-5.19265760018625,2.07313246936591e-07,4.41322116485641e-06
"Srsf3",527.010815915131,0.633011011425669,0.121928645013004,5.19165132490529,2.08437076372392e-07,4.42946818180292e-06
"Calhm2",37.5416677930644,-1.8087118193356,0.348920485447773,-5.18373639488224,2.17484263563596e-07,4.61374647556415e-06
"Ifng",73.8468026610831,4.66646099195723,0.900398838221179,5.18265994342713,2.1874364259274e-07,4.63246234821831e-06
"Tsr1",71.8079612063288,1.08233243031898,0.209076065598057,5.17673999280114,2.25796544504402e-07,4.77359544947947e-06
"Ephx1",174.808277629739,-1.32985655387415,0.257524889320108,-5.16399233248915,2.41737602654768e-07,5.10182641479126e-06
"Mpzl2",13.0491753687888,-2.02337743638031,0.392179522098875,-5.15931435061055,2.47855856716186e-07,5.22197853867052e-06
"Ly75",192.596610880486,1.05448454399914,0.204939634178821,5.14534217953685,2.67033617036772e-07,5.61639369531279e-06
"Aftph",407.070072648957,0.857059455448346,0.166996479691299,5.13220073280981,2.86373841332112e-07,6.01287161210656e-06
