"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Vsig8",26.1477535517382,-6.76137884327605,0.902506383598154,-7.49177952217853,6.79459936429107e-14,8.45588465725225e-13
"Serbp1",1490.95390265688,1.05740001603732,0.141158808012674,7.49085396033086,6.84269225360405e-14,8.50853787409261e-13
"Eepd1",21.5273506191247,-3.94953488624311,0.527376588132427,-7.48902202926641,6.93886949058962e-14,8.62084207825788e-13
"Fmnl1",338.111019522957,1.32420786532262,0.176848390397492,7.48781406687542,7.00301382903737e-14,8.69319269410462e-13
"Ctsw",43.0841417299557,5.74780528321913,0.767795938150076,7.48611056352795,7.09446371928035e-14,8.79928847475666e-13
"Dlg3",18.7128882692087,-3.84319802562122,0.513456354057746,-7.48495562524287,7.15713147572414e-14,8.86953698465899e-13
"Ilf3",115.915615768211,1.35595291339021,0.181205948550927,7.48293819399157,7.26790675624393e-14,8.99923471248723e-13
"Ostm1",45.0753630072713,-2.44887267002705,0.327492082197669,-7.47765458509301,7.566074492426e-14,9.36055136951946e-13
"Atox1",981.052636529276,-1.61166273398225,0.215823753898822,-7.4674946796533,8.17360301030261e-14,1.01036722925673e-12
"Ltbr",162.137252522007,-1.56693524266051,0.209848475609615,-7.46698415658504,8.20536431849175e-14,1.01344172229231e-12
"Pdcd1lg2",74.6001230847993,3.54751893370025,0.475147455318669,7.46614318142779,8.25794884438958e-14,1.01908076762559e-12
"Brd4",328.637462125371,0.945739795314945,0.126672770350333,7.46600704081357,8.2664925447356e-14,1.01928001117402e-12
"Vkorc1",39.5761944633554,-2.26833018431698,0.303892119858245,-7.46426128250735,8.3768232088287e-14,1.03201900671583e-12
"Car13",77.6257416995628,3.07830441384132,0.412558541177171,7.46149723396312,8.5544758904842e-14,1.05302376861107e-12
"Echs1",75.5494863984089,-1.7884069049185,0.239689008416738,-7.46136385949359,8.56314124244723e-14,1.05320909428427e-12
"Pi4k2a",492.641343373674,-1.20392591709848,0.161411167673862,-7.45875229359012,8.73456390745624e-14,1.07339544760803e-12
"Arap1",324.359934628017,-1.21198702838872,0.162511951669562,-7.45783319895797,8.79569192653362e-14,1.08000524406769e-12
"2700038G22Rik",23.7677789202324,4.38776430610971,0.588424863061544,7.45679623950695,8.86516392777107e-14,1.0876277012303e-12
"Vamp3",116.124095219639,-1.49637914929399,0.200682913019783,-7.45643526285908,8.88947420045536e-14,1.08970137907249e-12
"Tanc2",24.4025994149279,-3.87602570228478,0.5199299608907,-7.45489968618984,8.99362319959482e-14,1.10155035192373e-12
"Plekho2",582.635803854798,-1.61396755116322,0.21659279816599,-7.45162149817338,9.21999266878288e-14,1.12833687319298e-12
"Nop56",93.4890295759957,2.31812122379722,0.311330936870943,7.44584282916335,9.63274334173693e-14,1.17786911518662e-12
"Arc",43.244265824122,6.67336642416983,0.897326478605797,7.43694361336405,1.030415066513e-13,1.25892073325633e-12
"Nfatc1",102.023877504638,1.66096963576542,0.22339032877713,7.43527996425717,1.04346724817308e-13,1.27380939590257e-12
"Cd27",65.8611277056576,5.89237960832365,0.792669019387585,7.43359392660015,1.05686083679159e-13,1.28908979346636e-12
"Slc25a24",61.5533517436652,-1.93378161537042,0.260345091143711,-7.42776292372253,1.10449688250441e-13,1.34607697942335e-12
"Cep97",32.3538695183366,3.15444953728389,0.425024447228996,7.42180728155696,1.15532841971151e-13,1.40686101440036e-12
"Tmem256",299.786187821287,-1.75708868229442,0.236760942249692,-7.42136209460329,1.15921914152767e-13,1.41043123009694e-12
"Cd52",3086.07792336874,-1.41049347520953,0.190065535341371,-7.42109016595871,1.16160199998929e-13,1.41216243139193e-12
"Whamm",143.251670771323,1.60629922258106,0.216578211978103,7.41671661202683,1.20059453093203e-13,1.45836049133032e-12
"Cox7c",765.227334068467,-0.828661263804566,0.111750632587147,-7.41527134674917,1.2137604169605e-13,1.47313661167401e-12
"Dcaf15",132.285708258775,1.50944101883201,0.203650239005083,7.41192854084664,1.24475828601769e-13,1.50951313992747e-12
"Il22",174.79359068022,8.01707340016933,1.08271152527459,7.40462552861079,1.31521067725119e-13,1.59363666082084e-12
"Smox",216.680727676758,2.25328197420915,0.304434999993802,7.40152076553295,1.34633619115577e-13,1.63000867258448e-12
"Galk2",147.84693643422,-1.78020391379737,0.240544524403809,-7.40072515975832,1.35442801578286e-13,1.63845691711891e-12
"Gstm1",605.477438083865,-2.34107508948502,0.316613432450048,-7.39411171335686,1.42356694202619e-13,1.72067951661506e-12
"Mndal",344.595520683698,3.8510479272052,0.521829355808437,7.37989897337037,1.58409687946163e-13,1.91314163356984e-12
"Tnfsf13os",13.8134661347924,-8.47222355131014,1.14836043298964,-7.37766933440362,1.61084429374093e-13,1.94384902058483e-12
"Slc29a1",62.9656014013127,-2.78961286207626,0.378144809542251,-7.37710208280559,1.61771971755713e-13,1.95054565944798e-12
"Pan2",46.0508091527309,2.78906990347758,0.378282508746959,7.37298140671699,1.66853766106043e-13,2.01017108879598e-12
"Stt3b",143.983554559883,-1.23731026638839,0.1678311309254,-7.3723525520326,1.67642967587786e-13,2.01802623012794e-12
"Pacs2",164.589822472936,-1.57052860965369,0.213141947621809,-7.3684632573611,1.72606088967163e-13,2.07437546462988e-12
"Pctp",23.1966018688331,-2.61941061928714,0.355486820611496,-7.36851682653472,1.72536758752851e-13,2.07437546462988e-12
"Map3k5",43.1200413287239,2.4417011249681,0.331380447224181,7.36827156044083,1.72854410967671e-13,2.07566398802811e-12
"Wdr81",98.7514762588463,-1.36589906259385,0.185389605477921,-7.36772193388439,1.73568338498857e-13,2.08253691624648e-12
"Ifrd1",310.092227836447,1.46525929865594,0.198909097079434,7.36647704991992,1.75196087477826e-13,2.10035407237067e-12
"Acox1",59.6979112647111,-2.19334658564668,0.297921984993617,-7.36215081842204,1.80970336769723e-13,2.16781242172852e-12
"Tmem141",18.2636471729577,-3.27949028949754,0.445474232153846,-7.36179570621036,1.81452527004455e-13,2.17181991231532e-12
"Trim34a",43.0754701571895,2.56877803495523,0.34908663097898,7.35856892528749,1.85892267788516e-13,2.22315061721063e-12
"Ngdn",185.245625883064,1.09028688858049,0.14834425675675,7.34970744683637,1.98641140199448e-13,2.37368901083174e-12
"Csf3",40.6069143523966,8.77370559471581,1.19424143309516,7.34667660288476,2.03195696619683e-13,2.42614342311327e-12
"Mtch1",171.784179590015,-1.21805245728705,0.165990169318045,-7.33809997478348,2.16647321053175e-13,2.58465700948273e-12
"Or2v1",29.2763254709463,5.74009804956118,0.782478713347289,7.33578812004505,2.20420499253883e-13,2.62754095950131e-12
"Rsrc2",190.186630271465,1.28250571920063,0.174851829299898,7.33481442164915,2.22028924840231e-13,2.64457124242899e-12
"Tor3a",943.250396931249,2.54747134213579,0.347326702139551,7.33451049528651,2.2253332943861e-13,2.64843468935433e-12
"Ptov1",137.365991680531,-1.23338785984543,0.168285378319334,-7.32914452915201,2.31626486519594e-13,2.75442652926696e-12
"Tmem175",38.7470826543195,-1.98900661660427,0.271396137551987,-7.32879485517095,2.32231549707392e-13,2.75939103085278e-12
"Kcnab2",108.261434380429,-1.86952627580009,0.255281859377338,-7.32338083230855,2.41800322458161e-13,2.87076896154927e-12
"Mtss1",114.09635776186,-2.58473641171878,0.353202123595586,-7.31800926168351,2.51676498069001e-13,2.98561394080242e-12
"Trib2",35.4864224680719,5.40868834916104,0.74023863653685,7.30668203765366,2.73819463120994e-13,3.2456763114503e-12
"Marchf5",764.216758331437,2.27730863428865,0.311889188330987,7.30165943383677,2.84239996347364e-13,3.36648176028158e-12
"Dusp16",108.29511986377,2.83789133807847,0.388769085898113,7.29968364517085,2.88445118950191e-13,3.41353797245157e-12
"Lxn",62.1314257067671,-1.70410016483372,0.23346340889287,-7.2992173502259,2.8944642433824e-13,3.42263416560732e-12
"Anxa1",976.172766636678,-8.58904348388717,1.17710490485129,-7.29675277750395,2.94795738978659e-13,3.48308861074383e-12
"Ttc7b",78.5746015034438,-1.80437026521622,0.247393296040389,-7.29352934819073,3.01938908613459e-13,3.56462387295665e-12
"Ptrh1",27.8248234236415,-3.06320348739424,0.420455351937375,-7.28544296862818,3.2061508445247e-13,3.78207529454357e-12
"Socs1",39.4532352124546,6.63371522988248,0.910706061496318,7.28414524768077,3.23716102395739e-13,3.81559604666773e-12
"Trim30c",38.8739256646643,4.69996287377409,0.645643254276325,7.27950434337315,3.35048883578748e-13,3.946012071612e-12
"Tmpo",144.911818105603,1.89698262976235,0.260742958194883,7.27529764521775,3.45657467887801e-13,4.06769708210364e-12
"Ms4a4c",65.6245652947592,6.45289423954876,0.887356790140176,7.27204018862514,3.54098205168589e-13,4.16369672104711e-12
"Cuedc2",121.954522357448,-1.63456305805227,0.224895684068469,-7.26809438261442,3.64594029324091e-13,4.28368863526947e-12
"Arid4a",160.742040197161,1.59326821844928,0.219297083940049,7.26534156233851,3.72096834814847e-13,4.36486797458246e-12
"Mpv17",65.3220693997917,-1.91750907310884,0.263922977818528,-7.26541163243203,3.71903991638662e-13,4.36486797458246e-12
"5031425E22Rik",51.2616023721804,1.95655323410932,0.269345869238612,7.26409222328196,3.75551729659082e-13,4.40188521377298e-12
"Eci2",123.444419374205,-1.45922838003928,0.200927270226718,-7.26247053669095,3.80083324526076e-13,4.45145358581097e-12
"Cmah",62.7015788655507,3.860042574366,0.531529140976088,7.26214665724162,3.80994775938163e-13,4.45857848373141e-12
"Xpr1",70.0401751096771,-1.83404084711281,0.252692679834323,-7.2579896193087,3.92885696065176e-13,4.59407677990361e-12
"Thap2",41.4940737894748,3.41054186826186,0.47006922269343,7.25540346742962,4.00466299521031e-13,4.67899862268019e-12
"Gimap3",73.9537492345628,5.20351822415548,0.717226002179667,7.25506075956792,4.01481571560457e-13,4.68342102906766e-12
"Tln1",944.302055013104,-1.1525295233121,0.158856833595443,-7.25514601560811,4.01228764608187e-13,4.68342102906766e-12
"Naaa",207.525842951831,-2.30632111664821,0.317939997442908,-7.25395085612768,4.04787039921001e-13,4.71823879337395e-12
