"","baseMean","lgFC_MoDC_Naive_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Rbm27",20.1066358913354,-1.40704354477252,0.40952000309714,-3.43583593995716,0.000590728577840079,0.00234954055559475
"Dock11",14.6842273236192,-1.80722405179049,0.526031764907444,-3.43557969756535,0.000591287518709001,0.00235111454444435
"Snph",1.89852143476032,4.93773023018691,1.43744157626139,3.43508237950745,0.000592373722507276,0.00235478362208604
"Slc25a43",18.4065883265129,2.23085271264346,0.649464665181452,3.43491006091945,0.000592750520585533,0.00235563144815316
"Pogz",51.1995209091125,-0.97730938993263,0.284590777582188,-3.43408664973477,0.000594554103453542,0.0023621473839911
"Calhm2",37.5416677930644,-1.36506008898394,0.397518072955179,-3.43395730120138,0.000594837889625845,0.00236256247734756
"P3h1",22.2476220977525,1.19441933383648,0.347832775578977,3.43388955180643,0.000594986579745727,0.00236256247734756
"Afg2a",20.6103103251847,-1.52718317626941,0.445039033245832,-3.43157130540014,0.000600095347769334,0.00238153542147797
"Ppp1r12a",132.450735814744,-0.816010175567503,0.23779265861817,-3.43160373541133,0.000600023600360717,0.00238153542147797
"Cnot6",73.6708349856818,-0.785806920410057,0.22908167486717,-3.43024784005834,0.000603030173337463,0.00239252345830336
"Shmt1",17.9581760714945,-2.58707814443049,0.754563980921138,-3.42857359991171,0.000606761991875389,0.00240666664508724
"Scarna2",5.33086381734433,-4.80783268802515,1.40264333962273,-3.42769437690291,0.000608730343089861,0.00241380933733899
"Bdh2",3.45402064060552,4.7552935325188,1.38768205707635,3.42678894511148,0.000610763578374063,0.00242053923247779
"Kcnq1",2.24122264470363,5.77542651326015,1.68537308177715,3.42679408832745,0.000610752010955104,0.00242053923247779
"Gabpa",90.9782868140188,-0.777635335327688,0.226988135755451,-3.42588537828024,0.000612798924552067,0.00242793765321702
"Nub1",483.528060218578,0.679350461114222,0.198303654191811,3.42580909001866,0.000612971057713879,0.00242795189920983
"Gm37593",3.39642167607025,-4.63546157434521,1.35318417668271,-3.42559546159408,0.00061345331804661,0.00242919420004933
"Rlf",22.3452603965949,-1.41659755977831,0.413632971835281,-3.424769436278,0.000615321371529072,0.00243592186816373
"Ermap",8.16272491194188,-4.12296053995549,1.20424594188338,-3.42368647180773,0.000617778511525573,0.00244497726292236
"Asphd2",3.5267129208745,-4.85493192417585,1.41819788688902,-3.42331064589702,0.000618633355384332,0.00244701595762402
"Rnf2",55.3492053555463,-1.16585445884865,0.340561831445371,-3.42332684170938,0.000618596494128264,0.00244701595762402
"Pak2",61.8715045107884,-0.818513256340584,0.239357574382065,-3.41962546392647,0.000627074079200144,0.00247904203758432
"Tnfrsf11b",6.22555364659879,-4.17885433347774,1.2219957938553,-3.41969616793343,0.000626911132015553,0.00247904203758432
"Irf1",1119.49357717715,-1.180103636075,0.345115330390663,-3.41944715912548,0.000627485182326425,0.00247998670414115
"Gsta4",8.22345498410941,2.77217430738579,0.810826303766568,3.41894964989182,0.00062863357582672,0.00248316295403338
"Ikbip",20.7777860748439,1.50768208581978,0.440968682426135,3.41902304155654,0.000628464044033116,0.00248316295403338
"Atp5mg",42.3949236301316,0.942765952003463,0.275756000185056,3.41884111812902,0.000628884357813468,0.00248347260379957
"Dolpp1",41.4994979819447,1.02594121844967,0.300101088607998,3.41865210555696,0.000629321327259868,0.00248451713908075
"Exoc4",65.0735805640818,0.713276627987711,0.208678486630178,3.41806498363096,0.000630680469424976,0.00248920077877704
"Gm43794",3.17667298980325,4.67731801093921,1.36846529249431,3.41792958622564,0.000630994291257282,0.00248975726098395
