"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Septin3",1.97505694888499,-5.47127037095993,1.68012258243378,-3.2564709433489,0.00112806475781921,0.00324999992288711
"Tbc1d16",5.4087753230061,-2.60908105029935,0.802036945384646,-3.2530684095208,0.00114166008478727,0.00328856208454029
"4930481A15Rik",5.04981868603126,-2.57287553728239,0.791005488525199,-3.25266458274445,0.00114328365004297,0.0032926316182377
"2510039O18Rik",205.627842041891,0.57283639626636,0.176143271565953,3.25210489832349,0.00114553736199436,0.00329851412566154
"Naa16",41.6622765872344,-1.06098084650348,0.326252005010673,-3.25202858590486,0.0011458449713237,0.00329879179820262
"Kcnip3",1.35992832069289,-4.83986316847595,1.48837579402637,-3.25177498041883,0.00114686778355632,0.00330112799832933
"Slc20a2",21.9497242186171,-1.04788548298367,0.322345861357865,-3.25081103436386,0.00115076316357921,0.00331173017285755
"Il13ra1",15.6806494693347,1.7623667835407,0.542186890821731,3.25047841136418,0.00115211015408618,0.00331499589555722
"Acat2",20.9810475331476,-1.21772705280036,0.374646232227032,-3.2503384474515,0.00115267738761025,0.00331601721397049
"Ghdc",30.6657115930679,1.03424160734151,0.318246672152829,3.24981122456118,0.00115481638869921,0.00332155897769664
"Bzw1",184.191969633971,0.545622725709419,0.16792819379692,3.2491430615234,0.00115753247011575,0.0033287582318995
"Coq8a",3.37216030256363,-3.47788376094172,1.07063382784359,-3.24843440445618,0.00116041961029791,0.00333644666527951
"Immp2l",8.11340552751169,-1.80767898508204,0.556488671404072,-3.24836618959573,0.00116069787535982,0.00333663259311662
"Alkbh1",87.2476994541215,-0.841773877370852,0.259187282421273,-3.2477437531162,0.00116323979570114,0.00334332453516972
"Hif1a",126.505957009102,0.902322658930806,0.277876864481523,3.24720325534984,0.001165451265115,0.00334906442464338
"9230111E07Rik",3.87707217484137,-3.03514970247501,0.934733532744275,-3.24707480383649,0.00116597740099123,0.00334996008476807
"D930048N14Rik",6.80780251572993,-2.56000498887654,0.788505335406975,-3.24665525256748,0.00116769740770585,0.00335416235225943
"Ralgapa1",57.5012934293199,-0.729845437549878,0.224802083632888,-3.24661331316549,0.00116786947275712,0.00335416235225943
"Ints3",61.905845786502,-0.792733193938782,0.244177216974231,-3.24654856731553,0.0011681351519748,0.00335430867812471
"Eif3c",881.886633586905,0.423917957128598,0.130650189027585,3.24467924833306,0.00117582987428178,0.00337578358135556
"Cnih1",115.45032053449,0.92831129076703,0.28610884827213,3.24460881365009,0.00117612071980614,0.00337599811909071
"Thrap3",72.6273648941029,-0.824778205769826,0.254243765329164,-3.24404496095313,0.00117845143073213,0.00338206683804272
"Ppp2r5e",99.3506243948723,0.684661705753988,0.21110243738404,3.2432676488166,0.00118167148355735,0.00339068520291134
"Gm26812",2.15656640774024,-4.62873727865674,1.42729348072029,-3.24301717984506,0.00118271079389798,0.00339304413433982
"Tiam2",6.33798377022767,-3.29452537321629,1.01667472197226,-3.24049108531508,0.00119324003204235,0.00342262257446448
"Gm45343",5.00327477794451,-2.42044089539727,0.74726170742901,-3.23908059430065,0.00119915683611524,0.00343896253661762
"Pir",15.1742352499575,1.2276408341387,0.379128646964972,3.23805875384595,0.00120346022549886,0.0034506703712404
"Nxn",30.6796870010911,-1.29856282574648,0.401040364013113,-3.23798535576838,0.00120376988343576,0.00345092482091209
"Gm15987",3.13168658940993,-3.73396562881352,1.15331217529429,-3.23760184692467,0.00120538905993155,0.00345493256975977
"Lig3",34.9395211765343,-0.857585472784808,0.264895688236173,-3.23744594898884,0.00120604783685972,0.00345618661889298
"Edc4",72.2868832599479,-0.711326172204359,0.219750176517325,-3.23697656801781,0.00120803330576774,0.00346124142872302
"Col5a1",10.0616176563185,2.90480303298185,0.897682988081146,3.23588958635726,0.00121264280671887,0.00347381134857058
"Nod2",34.6498108791723,0.80102138014406,0.247557261747839,3.23570140697378,0.0012134424561076,0.0034754647243962
"Gm26542",1.96732624881008,-4.88784713933348,1.51104977611444,-3.23473602034622,0.00121755243389422,0.00348595794902157
"Syap1",80.0645055539187,0.59325744840027,0.183401767412476,3.2347422643208,0.00121752580991729,0.00348595794902157
"Rfx2",2.67961901021465,-4.13991893166963,1.28011397072517,-3.23402370909554,0.00122059322361558,0.0034940235928347
"5830416I19Rik",2.30096557232544,-4.02325883462968,1.2440662850729,-3.23395857833566,0.00122087161041426,0.00349418018070375
"Thoc3",28.2969187840911,-0.946364369491701,0.292659567773297,-3.23366967528901,0.00122210716871087,0.00349707566998213
"Ralbp1",191.184018850358,-0.654795135092289,0.202616098975419,-3.23170339574906,0.0012305471283713,0.00352058181177437
"Rbm25",421.671903413914,-0.406552222028671,0.125811559239759,-3.2314377509137,0.00123169148742416,0.0035232105337947
