"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Treatment_6H","lfcSE","stat","pvalue","padj"
"Etfrf1",19.4486071572826,1.7093653703125,0.396795865726146,4.30792132167082,1.64795980540597e-05,7.1135194245428e-05
"Zdhhc13",36.6676146259126,-1.03491709881412,0.240244828492071,-4.30776015163329,1.64916073135994e-05,7.11665710258888e-05
"Arhgap23",19.2348087949707,1.47374455096011,0.342153333912544,4.30726345439267,1.65286701890504e-05,7.13060130885671e-05
"Dnase1l2",8.1676473169667,-2.68935094467953,0.624765337321834,-4.30457770946113,1.67304559569631e-05,7.21557987020648e-05
"Uty",4.40224692403355,-5.02846299101744,1.16825063293764,-4.30426729440158,1.67539288850987e-05,7.22362821229143e-05
"Dll1",12.1230978787909,-1.95642292543045,0.454563215757385,-4.30396226005813,1.67770255067564e-05,7.23150973106328e-05
"Atp11b",77.4468228737868,-0.851725332647213,0.197956421542548,-4.30259006507726,1.68813013104598e-05,7.27436786951588e-05
"Fhdc1",22.7991660222734,-5.63160509482725,1.30909997652087,-4.30189076146352,1.69346800749778e-05,7.29527552268698e-05
"Adsl",94.1060320855778,-0.77322787610712,0.179758951571525,-4.3014707715374,1.69668157271093e-05,7.30702250462112e-05
"Nsmaf",53.1022021774769,-1.2036049754837,0.279819183777775,-4.30136690141863,1.69747723383962e-05,7.30835265604652e-05
"Gpat3",7.81573629165373,-3.84430023708791,0.893840228830888,-4.30088075372947,1.70120592911556e-05,7.32230636863875e-05
"Vcam1",95.9998809374117,-1.41966514044246,0.330159362973866,-4.29993905868673,1.70845083284166e-05,7.35138215920085e-05
"Elane",38.5051193439987,-3.87416973283567,0.901280624889877,-4.29851660608929,1.71945020475028e-05,7.39659195527677e-05
"Bnip3",34.6829062493985,1.82309357975172,0.424165053872158,4.2980758624712,1.72287200587634e-05,7.40918860619348e-05
"Gk",18.9243135016631,1.32622641790466,0.308758810540414,4.29534760670763,1.74419820138974e-05,7.49875360752125e-05
"Odc1",42.506896199243,-1.75562348516771,0.408790972908093,-4.29467283163911,1.74951144329078e-05,7.51944325740751e-05
"Ctr9",56.6578414275884,-0.847554624255184,0.197388243375411,-4.29384551866762,1.75604682963395e-05,7.54537236785762e-05
"2700049A03Rik",10.6817784592917,-1.94600046297044,0.453244481108807,-4.29348959354074,1.75886562262276e-05,7.55532177179844e-05
"Atp5mk",106.020260980149,1.4327560849739,0.333741569207247,4.29301057215377,1.76266609781201e-05,7.56589983168837e-05
"Crtc3",83.6234067071134,-0.910843292961262,0.212169340073287,-4.29300148950192,1.76273823357387e-05,7.56589983168837e-05
"Mlh1",14.735887123581,-1.86732457458089,0.434970766930601,-4.29298867084283,1.76284004604316e-05,7.56589983168837e-05
"Fndc3b",47.3651668551895,1.39872197776991,0.325838079639686,4.29269034275129,1.76521110634919e-05,7.57391092872832e-05
"Gata1",8.11677245673903,-3.46559220955948,0.80740285465902,-4.29227143496174,1.76854564286245e-05,7.58605021036972e-05
"Cul4b",18.9538567491669,-1.42615088794391,0.332360878512435,-4.29097099010871,1.77893555578633e-05,7.62843744616399e-05
"Dact3",2.18618297565155,-5.25543832742328,1.22481451603704,-4.29080343073297,1.78027849425194e-05,7.63201628618059e-05
"Selenow",127.753557822584,-1.40099359862033,0.326853074076647,-4.28630999594576,1.81665440625031e-05,7.78573582673019e-05
"Apobec1",158.600360480904,0.594963796448554,0.138819935347158,4.28586711959403,1.8202777309444e-05,7.7990381206245e-05
"Slc4a7",40.7433159052963,1.05488776679421,0.246172889940094,4.28515003033401,1.8261590887595e-05,7.82200467890055e-05
"Rell2",6.87189380879237,-4.83190103347287,1.12765509531286,-4.28491038931746,1.82812858730419e-05,7.82820721083793e-05
"Snord104",31.3616705705338,-1.54704321887136,0.361115988939589,-4.28406181463809,1.83511891103988e-05,7.85589968960412e-05
"Ndufb5",254.733645839611,0.688444491835986,0.160734864227445,4.28310618946874,1.84302157012634e-05,7.88748085299507e-05
"Timm23",31.4635952343623,1.15772546771991,0.270355268333997,4.28223749754954,1.85023344429765e-05,7.91608854352823e-05
