"","Input-node Gene Symbol","Input-node GeneID","Output-node Gene Symbol","Output-node GeneID","Edge direction score"
"8592","Hsd3b4",15495,"Eno1",13806,0.415905441534009
"8593","Hsd3b4",15495,"Mdh2",17448,0.415905441534009
"8594","Hsd3b4",15495,"Gpi1",14751,0.415905441534009
"8595","Hsd3b4",15495,"Hsp90aa1",15519,0.415905441534009
"8596","Hsd3b4",15495,"Myh9",17886,0.415905441534009
"8597","Hsd3b4",15495,"Anxa6",11749,0.415905441534009
"8598","Hsd3b4",15495,"Sord",20322,0.415905441534009
"8599","Hsd3b4",15495,"Tpi1",21991,0.415905441534009
"8600","Hsd3b4",15495,"Pgk1",18655,0.415905441534009
"8601","Hsd3b4",15495,"Gapdh",14433,0.415905441534009
"8602","Hsd3b4",15495,"Pkm",18746,0.415905441534009
"8603","Hsd3b4",15495,"Ctnnd1",12388,0.415905441534009
"8604","Hsd3b4",15495,"Clpp",53895,0.415905441534009
"8605","Hsd3b4",15495,"Kif5b",16573,0.415905441534009
"8606","Hsd3b4",15495,"Rab22a",19334,0.415905441534009
"8607","Hsd3b4",15495,"Septin2",18000,0.415905441534009
"8608","Hsd3b4",15495,"Septin7",235072,0.415905441534009
"8609","Hsd3b4",15495,"Sec23a",20334,0.415905441534009
"8610","Hsd3b4",15495,"Pdia3",14827,0.415905441534009
"8611","Hsd3b4",15495,"Atp2a2",11938,0.415905441534009
"8612","Hsd3b4",15495,"Rhoa",11848,0.415905441534009
"8613","Hsd3b4",15495,"Myo1c",17913,0.415905441534009
"8614","Hsd3b4",15495,"Aldh6a1",104776,0.415905441534009
"8615","Hsd3b4",15495,"Sdha",66945,0.415905441534009
"8616","Hsd3b4",15495,"Slc25a3",18674,0.415905441534009
"8617","Hsd3b4",15495,"Tmed10",68581,0.415905441534009
"8618","Hsd3b4",15495,"Suox",211389,0.415905441534009
"8619","Hsd3b4",15495,"Lrp1",16971,0.415905441534009
"8620","Hsd3b4",15495,"Macf1",11426,0.415905441534009
"8621","Hsd3b4",15495,"Pura",19290,0.415905441534009
"8622","Hsd3b4",15495,"Myo6",17920,0.415905441534009
"8623","Hsd3b4",15495,"H2bc15",319187,0.415905441534009
"8624","Hsd3b4",15495,"Kyat3",229905,0.415905441534009
"8625","Hsd3b4",15495,"Cdc42",12540,0.415905441534009
"8626","Hsd3b4",15495,"H3c2",319150,0.415905441534009
"8627","Hsd3b4",15495,"Copb1",70349,0.415905441534009
"8628","Hsd3b4",15495,"Arcn1",213827,0.415905441534009
"8629","Hsd3b4",15495,"Ctsb",13030,0.415905441534009
"8630","Hsd3b4",15495,"Pcbd1",13180,0.415905441534009
"8631","Hsd3b4",15495,"Cers2",76893,0.415905441534009
"8632","Hsd3b4",15495,"Rpn1",103963,0.415905441534009
"8633","Hsd3b4",15495,"Add1",11518,0.415905441534009
"8634","Hsd3b4",15495,"Alb",11657,0.415905441534009
"8635","Hsd3b4",15495,"Calr",12317,0.415905441534009
"8636","Hsd3b4",15495,"Vim",22352,0.415905441534009
"8637","Hsd3b4",15495,"Atp1a3",232975,0.415905441534009
"8638","Hsd3b4",15495,"Ap2a2",11772,0.415905441534009
"8639","Hsd3b4",15495,"Sptan1",20740,0.415905441534009
"8640","Hsd3b4",15495,"Lima1",65970,0.415905441534009
"8641","Hsd3b4",15495,"Pebp1",23980,0.415905441534009
"8642","Hsd3b4",15495,"Rtn4",68585,0.415905441534009
"8643","Hsd3b4",15495,"Krt13",16663,0.415905441534009
"8644","Hsd3b4",15495,"Itgb1",16412,0.415905441534009
"8645","Hsd3b4",15495,"Cubn",65969,0.415905441534009
"8646","Hsd3b4",15495,"Nherf1",26941,0.415905441534009
