"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Med1",130.668161345831,0.805983781666314,0.20755635291984,3.88320458674464,0.000103088758775129,0.0006935108165528
"Zfp362",55.3236882852816,-1.21269584933169,0.312330282125438,-3.88273542059123,0.000103287935602142,0.000694508282612137
"Ccdc88b",191.355600715422,0.991646694844958,0.255440337568015,3.88210689151989,0.000103555336607277,0.000695963279474422
"Decr2",43.521556262093,-0.929737501418042,0.2396024424347,-3.88033398979823,0.000104313123792338,0.000700710954159958
"Pold4",218.513094345377,-1.11984402181817,0.288608080538151,-3.88015477505016,0.000104390015689936,0.000700882374044189
"Gca",18.2467720803141,2.82493378199265,0.728119493697865,3.87976672296712,0.000104556692367418,0.000701656150501077
"Mbd5",19.040947846361,-1.79824953945837,0.463763426675208,-3.87751477590697,0.000105528920365909,0.000707832379819124
"Rfc3",86.000105127949,1.25322412732854,0.323250047324404,3.87694955562015,0.000105774277545033,0.000709129468573405
"Cdv3",254.399745192197,0.82434889657826,0.212669899535833,3.87618980578567,0.00010610492649319,0.000710299073673497
"Mtm1",86.0879017454052,0.896434278164733,0.231263719707416,3.8762425827054,0.000106081926086348,0.000710299073673497
"Tsku",11.6645207329802,-1.97583323915692,0.509725617112948,-3.87626827615201,0.000106070730475498,0.000710299073673497
"Trmt1l",102.768566172168,0.795713440774597,0.205370932162921,3.8745183283453,0.000106835802770973,0.000714841028545555
"Rpe",63.0470023367774,0.940973977133244,0.242906469609844,3.87381191882059,0.000107146115827559,0.000716565910899702
"Arhgef37",7.72124348526578,3.03246913558195,0.782927397272497,3.87324437252578,0.000107396044680576,0.000717885466720776
"Prune1",33.8374251119155,-1.02992450654704,0.265938781804174,-3.87278793848668,0.000107597442302883,0.000718879483515296
"Fkbp5",50.1026525165075,1.34804212212201,0.348102633500599,3.87254215392109,0.000107706040204383,0.000719252817674203
"Btaf1",74.6501911894582,0.970065264673099,0.250604479375574,3.87090153811372,0.000108433586338427,0.000723757054019156
"Zfp90",43.8558118171438,-1.06619950142711,0.275476363026407,-3.87038470275183,0.000108663740505019,0.000724938587633238
"Polr3g",6.61514340315485,-3.23083372794152,0.834847106538643,-3.86997056423525,0.00010884849484817,0.000725816234219739
"Grhpr",31.6856194066916,-1.26233221362814,0.326223580176279,-3.86953086881709,0.000109044974916092,0.000726771173805688
"Trir",416.113206518247,0.467683209695815,0.120871960001642,3.86924485786002,0.000109172959891446,0.000727268892479976
"Brd7",138.440934956028,0.624544184150164,0.161481590782014,3.86758751338563,0.000109917387429875,0.000731870627967684
"Lrrc20",51.568852298418,-1.53354390145207,0.396541778794582,-3.86729465458539,0.000110049427348351,0.000732392359665147
"Frmd4a",150.034984079116,1.50459738134735,0.389094945810637,3.86691576836775,0.000110220476096746,0.000733173064547976
"2310022A10Rik",106.895612743064,-0.726078776787373,0.187922006144215,-3.86372406130108,0.000111671365465031,0.000742462202260922
"Slc25a17",116.381155888794,0.65035152661026,0.168365268498904,3.86274159990718,0.00011212158782044,0.000745092461098032
"Neil2",5.63945880477227,-4.29440405335727,1.11190572629994,-3.86220158038726,0.000112369785615749,0.000746378279043655
"Osm",56.4133004438402,2.24387228736852,0.581030901806917,3.86188115019429,0.000112517303095903,0.000746994436076594
"Tubb4b",409.57018402433,0.66520369307642,0.172257560874119,3.86168066992736,0.000112609691721695,0.000747244175174651
"Aldh3a2",184.679422148587,-0.782153540469316,0.202604225828737,-3.86049963800101,0.000113155408431874,0.000750500358403529
"Dusp1",211.670341885673,1.6666736242441,0.431783164874706,3.85997824794242,0.000113397118796733,0.000751738042635486
"Cd22",255.105749982754,-1.10611682977742,0.286658635679497,-3.85865518111978,0.000114012664907941,0.00075545157228705
"Uba1",550.48154763577,0.540415940596656,0.140075696351002,3.85802787117673,0.000114305615870978,0.000757025008411527
"Slc44a1",168.052036124561,1.32559920107161,0.343705841704909,3.85678402932037,0.000114888585230659,0.000760516724066901
"Il16",169.214274777574,-1.54165763600676,0.399755770665528,-3.85649876533403,0.000115022678762995,0.000761035114628294
