"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"5830415G21Rik",-0.71,-0.69,-1.61,-1.19,0.42,1.21,1.28,1.24,-0.32,0.17,0.21
"Mr1",-0.93,-0.6,-1.47,-1.48,0.67,1.18,1.01,1.21,-0.04,0.31,0.15
"5033421B08Rik",-0.61,-0.81,-1.28,-1.29,-0.02,1.49,1.43,1.15,-0.25,0.07,0.11
"Gm40932",-0.69,-0.85,-0.92,-1.48,0.51,1.1,1.59,1.27,-0.02,-0.31,-0.2
"Fam131a",-0.75,-0.86,-0.96,-1.63,0.35,1.33,1.19,1.34,-0.02,0.09,-0.1
"AI839979",-0.83,-0.76,-1.05,-1.33,0.29,1.52,1.21,1.33,0.21,-0.2,-0.39
"2010315B03Rik",-0.98,-1.58,-0.7,-1.06,0.47,1.11,0.96,1.03,-0.54,0.22,1.07
"Pcnx4",-1.02,-1.25,-0.55,-1.19,0.65,1.02,0.69,1.08,-1.04,0.43,1.15
"Tob1",-1.02,-1.77,-0.47,-0.79,0.5,1.22,1,0.61,-0.82,0.83,0.71
"Casp9",-0.51,-1.76,-0.68,-1.12,0.22,1.02,1.08,1.03,-0.74,0.63,0.83
"Ccdc69",-0.77,-1.43,-0.07,-1.36,0.06,1.11,1.08,1.3,-0.93,0.45,0.57
"Pip4k2a",-0.64,-1.36,-0.56,-1.26,-0.38,1.17,1.34,0.84,-0.73,0.63,0.94
"Osbpl9",-0.76,-1.29,-0.76,-1.33,0.07,1.29,1.02,0.77,-0.76,0.81,0.94
"Tmem19",-1.08,-1.27,-0.69,-1.2,0.07,1.13,1.3,0.71,-0.62,0.63,1.02
"Ankrd44",-0.2,-1.79,-0.37,-0.75,-0.49,0.73,1.23,0.74,-1.01,1.38,0.52
"Poc1b",0.1,-1.5,-0.51,-1.56,0.07,0.86,1.2,1.25,-0.86,0.22,0.72
"4930455G09Rik",-0.19,-1.57,-0.56,-1.31,-0.53,0.98,1.02,1.46,-0.44,0.22,0.91
"Hpse",-1.03,-0.8,-0.17,-0.35,-1.05,1.06,1.47,1.15,-1.36,0.56,0.52
"Rxra",-1.2,-0.43,-0.75,-0.44,-0.32,1,1.16,1.28,-1.62,0.6,0.73
"Osbpl8",-1.06,-1.46,-0.59,-0.17,-0.5,1.38,1.26,0.65,-1.03,0.82,0.7
"Bmt2",-1.31,-1.24,-0.61,-0.56,-0.42,1.51,1.09,1.07,-0.67,0.27,0.86
"Msrb2",-1.61,-1.19,-0.15,-0.8,-0.25,1.37,1.09,1.11,-0.62,0.41,0.62
"Slc9a4",-1.12,-1.46,-0.6,-0.27,-0.14,1.69,1.31,0.91,-0.79,0.2,0.27
"Gm33251",-1.06,-1.3,-0.68,-0.7,-0.45,1.35,1.47,1.29,-0.47,0.32,0.24
"Arsb",-0.43,-0.39,-0.87,-0.72,-0.46,1.51,1.52,1,-1.58,0.17,0.26
"Lztr1",-0.61,-0.67,-1.12,-1.19,-0.23,0.94,1.42,1.31,-0.92,0.09,0.98
"Map6",-0.58,-0.49,-1.44,-1.23,0.24,1.17,1.19,1.03,-1.05,0.32,0.85
"Fam219b",-1.02,-0.95,-1.4,-0.12,0.42,1.11,1.1,1.17,-1.23,0.74,0.17
"Lpgat1",-0.8,-0.9,-1.38,-0.44,-0.03,1.16,1.23,1.25,-1.2,0.54,0.56
"Gm47507",-1.14,-0.82,-0.67,-0.69,-0.35,1.92,0.58,1.32,-0.94,0.5,0.29
"Prrc2b",-0.57,-0.95,-0.42,-0.64,0.06,1.52,0.91,1.47,-1.68,0.22,0.08
"Ext2",-0.66,-1.36,-0.49,-0.58,0.22,1.49,0.68,1.51,-1.38,0.08,0.49
"Smpdl3a",-1.25,-1.15,-0.47,-0.04,-0.34,2.05,1.29,0.47,-0.4,0.44,-0.58
"Ipp",-1.54,-1.27,0.14,-0.99,0.86,1.54,0.85,0.84,-0.46,0.36,-0.34
"Elovl7",-1.57,-1.61,-0.41,-0.61,0.49,1.3,1.25,0.72,-0.03,0.61,-0.13
"Gm26881",-1.26,-1.18,-0.3,-1.27,0.22,1.51,1.23,0.71,-0.54,0.81,0.06
"Socs4",-1.91,-0.69,0.19,-0.31,0.62,1.45,0.95,0.98,-1.15,0.16,-0.29
"Tmem256",-1.93,-0.5,-0.28,-0.46,0.48,1.11,0.91,1.42,-1.16,0.2,0.21
"Upp2",-1.87,-0.7,-0.4,0.11,0.48,1.16,1.11,1.39,-1.04,-0.1,-0.14
"Cryz",-1.14,-1.36,-0.81,-0.42,0.43,1.39,0.87,1.38,-0.98,0.5,0.15
"Prps2",-1.75,-1.06,-0.45,-0.49,0.52,1.55,0.71,1.2,-0.78,0.35,0.19
"Sh3d19",-1.46,-1.44,-0.58,-0.75,0.64,1.44,0.72,0.92,-0.6,0.71,0.42
"4833420G17Rik",-1.77,-1.25,-0.83,-0.54,0.81,1.09,0.97,0.73,-0.45,0.76,0.48
"Slc46a1",-1.65,-1.54,-0.72,-0.24,0.73,0.85,1.03,1.06,-0.59,0.57,0.49
"Chchd6",-1.8,-0.93,-0.8,-0.02,1.11,1.11,0.74,1.25,-0.79,0.25,-0.12
"Hacd3",-1.53,-1.08,-0.93,-0.38,1,1.11,1.04,1.13,-0.86,0.37,0.12
"Septin8",-2.01,-0.55,-0.73,0.03,0.05,0.95,1.07,1.33,-0.98,0.49,0.35
"Fam234a",-1.98,-0.5,-1,-0.56,0.21,0.8,0.81,1.24,-0.6,0.81,0.78
"Ptgfrn",-1.9,-0.95,-0.84,-0.61,-0.07,1.15,0.9,1,-0.24,0.74,0.82
"Txnrd2",-1.83,-0.88,-0.95,-0.8,0.36,1.08,0.88,1.14,-0.31,0.7,0.6
"Atp13a2",-1.62,-0.77,-0.97,-0.88,-0.01,1.06,1.07,1.17,-0.55,0.8,0.71
"Trp53inp2",-1.5,-0.67,-0.89,-0.75,-0.13,1.18,1.33,1.19,-0.87,0.46,0.64
"Chd3",-1.52,-0.84,-0.83,-0.63,0.01,1.32,1.14,1.34,-0.83,0.42,0.42
"Epn1",-1.82,-0.68,-0.64,-0.51,0.24,0.68,1.1,1.36,-1.04,0.56,0.76
"Rere",-1.73,-0.62,-0.5,-0.97,0.02,0.73,1.19,1.32,-0.86,0.73,0.7
"Atrn",-1.65,-0.25,-0.75,-0.73,-0.12,1.74,1.05,1.2,-0.64,-0.15,0.29
"Dnajc15",-2.12,-0.04,-0.6,-0.94,0.15,1.31,1.02,0.84,-0.56,0.48,0.46
