"","baseMean","lgFC_PcDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"1810055G02Rik",20.9583700352526,0.73040513597558,0.278251214051686,2.62498454306799,0.00866529008762481,0.02808810611176
"Dalrd3",204.239328832674,0.387729981898238,0.147710007834589,2.62494050052745,0.00866641100846339,0.02808810611176
"Naxd",75.9238468564338,0.612108473748781,0.233184266346204,2.62499903333957,0.00866492132598209,0.02808810611176
"Zfx",47.0965070590674,-0.535011846916669,0.203881642752556,-2.62412956700567,0.00868707314385387,0.0281492687586557
"2810408A11Rik",4.1365266236778,2.16785374186192,0.826237978457744,2.62376433713254,0.00869639336933037,0.0281736618657263
"Bltp3b",177.338381524744,-0.393415379807274,0.149992690991224,-2.62289700389662,0.00871856248615615,0.0282396628312154
"Eif4e2",340.183807580645,-0.277127842948871,0.105755545037057,-2.62045685502131,0.00878120407863955,0.0284367010531799
"Satb1",355.190006833221,-0.349927579653446,0.13355641785501,-2.62007311422002,0.00879109168130656,0.0284628568771283
"Ampd2",182.865217399155,0.393118041542073,0.150112733390317,2.61881875483477,0.0088234813919918,0.028560924800052
"Ncoa4",24.6390763586081,0.780842135986475,0.298172721861178,2.61875778277939,0.00882505850868216,0.028560924800052
"Rlf",41.5451018294567,0.550480143827851,0.210212093010843,2.61868922926074,0.00882683202994165,0.028560924800052
"Alg5",120.800901355882,-0.452724219886418,0.172887937754572,-2.61859922540747,0.00882916096786819,0.0285625810359992
"Gm7644",1.66191777492851,-3.03751675023123,1.16077690752612,-2.61679632885261,0.00887592846525792,0.028707966984648
"H2-T10",96.5118242399891,-0.512878516087582,0.196119608232892,-2.61513124928609,0.00891931739087732,0.0288423678393747
"Mark3",202.888121014339,-0.259623580804901,0.0992939887586083,-2.61469585471147,0.00893069417660189,0.0288732171456201
"Atg9b",4.10514619663766,1.74257281505595,0.666509965217164,2.61447376032581,0.00893650245525389,0.0288860543068344
"Gm16548",2.64544103595956,3.09949059722131,1.18586469143019,2.61369667182116,0.00895685166921535,0.0289458781637327
"Abcb10",73.3594910732009,-0.515250488247026,0.197206836032031,-2.61274151857159,0.0089819204592502,0.0290209265568251
"Ankrd24",9.06671081882601,1.48999274962783,0.570661225388315,2.61099349901325,0.00902796099369048,0.0291636906822484
"Gm50431",3.53687925845225,2.1741405026419,0.832746044425731,2.61080856186018,0.00903284430049613,0.0291677907802736
"Lbhd1",10.093088745795,1.07282952672174,0.410919074168662,2.61080488632027,0.00903294137784668,0.0291677907802736
"Pdia2",3.18519472242921,-3.4010911349419,1.30274053594605,-2.61072027859488,0.00903517627139422,0.0291690153645606
"Ctbs",12.2935722460248,0.965783588909328,0.369992368171968,2.61027975706905,0.00904682052532856,0.0292006102336016
"Pnkd",56.4589695795786,0.645448985302401,0.247297360654668,2.61001162161097,0.00905391467673069,0.0292175086847731
"Gm43513",1.76104056667315,-3.26944260464652,1.25277765101324,-2.6097548930588,0.00906071168574307,0.0292334415000401
"Dnajc28",5.62184753032882,1.68500053430817,0.64615421732204,2.6077374241889,0.00911428388922711,0.0294002520941434
"Saal1",47.0469566205778,0.548627944721145,0.21042838231739,2.60719556306642,0.00912872064873719,0.0294407796219737
"Pfn1",530.943023157246,0.552846832526803,0.212079620092132,2.606789055387,0.00913956459588161,0.0294675358044577
"Star",4.10637414382184,-1.83626414143718,0.70442825084579,-2.6067440356522,0.00914076624356102,0.0294675358044577
"Comt",81.6931546439755,0.475483576043491,0.182419937035773,2.606532946836,0.00914640241786745,0.0294796595461264
"Gm9892",11.350826266781,-1.08468441659846,0.416155870079085,-2.60643786279485,0.00914894222135515,0.0294818004873886
"Ccr7",1493.30525905968,-0.367165819092256,0.140989279865282,-2.60421089775825,0.00920860732061622,0.0296679849298558
"Coil",53.5595932000826,-0.485028865342723,0.186256206377374,-2.60409505152277,0.00921172056704171,0.0296719335232231
"C1rl",7.10660548514785,1.50750517630845,0.578915107261027,2.60401768307755,0.00921380028623156,0.0296725520793431
"Nans",53.9709996044977,0.567425578268396,0.217958284244672,2.60336779689192,0.00923128624242388,0.0297227751832571
"Coasy",54.7419061249444,0.570706688356939,0.219282166414575,2.60261332550846,0.00925162333019939,0.0297818503119688
"Hnrnpll",62.3031692825376,0.620152024388052,0.23828661403267,2.60254663026529,0.00925342305004489,0.0297818503119688
"Pard6b",9.71605700971223,-1.02194492166421,0.392701169730375,-2.60234753659091,0.00925879729819592,0.0297900208649306
"Phlpp2",28.2307847544993,-0.692730785798082,0.266198187667119,-2.60231217901582,0.00925975201641648,0.0297900208649306
"Lrp11",5.6121394064921,-1.25438177553577,0.482135077518556,-2.60172269977079,0.00927568196450298,0.0298351636586909
"Pum2",191.33233323637,-0.363577810516878,0.139765235705505,-2.60134652713614,0.00928586034265758,0.0298617918834359
"Gm26812",1.7029525640368,-3.50371611255141,1.34699702807208,-2.60113128650787,0.00929168874741757,0.0298744232809689
