"","baseMean","lgFC_LMoDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Prkar2a",106.358541017104,-0.443700044398015,0.153730184706199,-2.88622592398487,0.00389892167381337,0.0206467924899528
"Ctdspl",32.2254034275763,-0.865186643774073,0.299808492720143,-2.88579765010754,0.00390423086538422,0.0206672443363297
"Cnih4",93.1353112118756,0.49338872682419,0.170980303509366,2.88564657271861,0.00390610529576657,0.0206695056814147
"Ythdc2",17.8645615156178,-1.13673180419161,0.393950326664098,-2.88546988605711,0.00390829849957075,0.0206734515447665
"Ccdc107",141.184607301948,0.361380535280859,0.125302068580137,2.88407477526789,0.00392565526990314,0.0207575744408577
"Ntpcr",49.0496513911308,-0.655384958022005,0.227296855667547,-2.88338770062264,0.00393422896499116,0.0207952102435247
"Psmd3",326.363152879754,0.442865732296094,0.153601033326199,2.88322104810056,0.00393631110775181,0.020798518402113
"Iqsec2",17.1981646436581,1.11604242921914,0.387134777525684,2.88282658652411,0.00394124346622906,0.0208168783967024
"Ube2f",168.989450653411,0.353208602698238,0.122531858973038,2.88258584876246,0.00394425641516325,0.0208250906178786
"Arpin",12.599736520462,-2.03827239511023,0.707270768717069,-2.88188411746111,0.00395305085880303,0.0208638109258776
"Iscu",87.9313417351096,0.564004270419282,0.195741386140521,2.88137466245584,0.00395944675325745,0.020889847997792
"Mbtd1",115.779675907231,-0.666859905373436,0.231455171445258,-2.8811622622619,0.00396211608161007,0.0208962119193335
"Arap3",199.954718913593,0.451466035815645,0.156818543564743,2.87890721054463,0.00399055726851455,0.0210384418268456
"Hnrnpul1",527.892341756826,-0.273523758660445,0.0950144825871964,-2.87875859776879,0.00399243809878449,0.0210405907479115
"Gm23119",8.74311957360869,1.46925921204584,0.510480119997971,2.87819085305746,0.00399963083917727,0.0210707221118147
"Zmpste24",45.4119562259704,-0.836174173102233,0.290599823623918,-2.87740771028262,0.00400957175849768,0.021115303781292
"Gm15987",8.68465038253668,1.69693074769209,0.589831422646749,2.87697583163247,0.00401506345435332,0.0211364306137391
"Acbd6",193.614461195453,-0.378128394083625,0.131455712925774,-2.8764698442367,0.00402150619065385,0.0211625465788203
"Rcl1",91.2300564435005,0.558293363410987,0.194132640947,2.87583458756637,0.00402960820007486,0.0211973717545006
"Ndufa10",432.061913649086,-0.277878164380189,0.096639536518899,-2.87540870320551,0.00403504818687614,0.0212181731240667
"B3gntl1",20.0110999584766,-0.989990865449804,0.344413560639577,-2.87442475729292,0.00404764201378654,0.0212765635778062
"Itgb7",300.694131239882,-0.472769273212499,0.164499565185896,-2.87398494140842,0.00405328288284982,0.0212983760606553
"Adgrl4",5.3189154059664,-1.99057549791655,0.692717862125424,-2.87357322042915,0.00405856988551208,0.0213143630224103
"C430042M11Rik",4.38037936029739,-3.03826020590192,1.05733206828982,-2.87351561257019,0.00405931014010335,0.0213143630224103
"Gm38336",3.27362930869702,2.99836529389325,1.04364033415711,2.87298717360791,0.00406610624238582,0.0213422011590424
"Mfsd11",37.6535864442706,0.746003123361529,0.259757844340968,2.87191759407388,0.00407989341357265,0.0214067001222059
"Tdrp",21.3293876172977,1.03272360673482,0.359636738343272,2.8715742765665,0.00408432785659448,0.0214220971163725
"Pcgf2",12.9657261887642,1.26117879655506,0.439246319579927,2.8712336116127,0.0040887323613771,0.0214294990668279
"Trappc8",58.1730439304491,-0.696626979870703,0.24262293415979,-2.87123301959538,0.00408874001940246,0.0214294990668279
"Pctp",25.3247084461167,-0.842329835655453,0.293455288505471,-2.87038560438058,0.00409971509233037,0.0214791382790398
"Cnot8",220.375223073147,0.374080250423267,0.130345409066164,2.86991504421441,0.00410582096536175,0.0215032398339921
"Fastkd3",45.4757792887052,0.691053523562729,0.240804425224482,2.86977086454502,0.00410769345628348,0.0215051605361586
"Mrpl12",227.667279283121,0.397463080363442,0.138549114859216,2.86875221662236,0.0041209449400275,0.0215666308660582
"Aaas",82.6883479034339,0.53100264498625,0.185121253366866,2.86840454744508,0.00412547660359016,0.0215824384074999
"Det1",27.332061271731,0.804787449623074,0.280616328872274,2.86792808122503,0.00413169440604426,0.0216070521812977
"Smpdl3a",79.4078061765177,-0.640421905070503,0.223336954512111,-2.86751427442687,0.00413710141202125,0.0216274093581579
"Clec7a",46.1526371879908,-1.79243609741015,0.625411789024638,-2.86600944987869,0.00415681837110078,0.0217225320073404
"Ahrr",43.5670611250506,0.679372034414619,0.237262752188785,2.86337416281025,0.00419155270194616,0.0218960335366478
"Cdk19",67.8275225871558,-0.62345727422983,0.217787384184429,-2.86268773815597,0.00420064322222274,0.0219354978061372
"Pus1",55.7662040059191,0.548565186738269,0.191638329374578,2.86250244681501,0.00420310015253029,0.0219403056938734
"Nup214",137.022343711755,-0.42673615128806,0.149093541123232,-2.86220414427842,0.00420705832996168,0.0219529437590474
"Telo2",48.3611249008529,0.568069364786939,0.198501597876032,2.861787365267,0.0042125942345419,0.0219738023585564
"Gm10320",22.3808392819077,0.978230006696457,0.341979482284047,2.86049326749943,0.00422982534022608,0.0220556281522851
"Gm12918",3.88133019099268,2.62494479242685,0.918158112595793,2.85892457564382,0.00425079840874746,0.022156898859026
"Tmem214",106.513009034332,0.566502230118858,0.198180982604755,2.85850954351492,0.00425636305280469,0.0221778099672224
"Gm7788",2.36969378460023,3.7249978139571,1.30334040085995,2.8580390905548,0.00426267875316123,0.0222026177799594
"Vps51",57.3056896896231,-0.701426590003545,0.245466700108132,-2.85752238366571,0.00426962519195489,0.0222306915754647
"Ccdc28a",28.2226285014976,-0.894095455968082,0.312913098383185,-2.85732831443571,0.0042722368461112,0.0222361831764432
"Bag4",11.00129807005,-1.43350337878795,0.501738095082239,-2.85707502148703,0.00427564767282378,0.0222458288026482
"Dnpep",157.616704162682,0.393672680452218,0.137914738591472,2.85446417455313,0.00431094935528467,0.0224213323715133
"Rassf1",164.093394837326,0.349461705837207,0.122445998482091,2.8540067472137,0.00431716144115048,0.0224454676747401
"Chaf1b",59.0934589834388,-0.60688055265275,0.212659308111478,-2.85376905456034,0.0043203926265138,0.0224459248788178
"Gm6028",17.9904394407829,1.21480182903998,0.425678588577406,2.85380064122977,0.00431996311217509,0.0224459248788178
"A430093F15Rik",9.03909511558166,1.45442351488478,0.50972143392123,2.85336934665679,0.00432583118555039,0.0224507442773423
"Spire1",9.69741766888134,-2.09857014886284,0.735426310247909,-2.85354238707536,0.00432347597844901,0.0224507442773423
"Tap2",473.015308222587,0.237374841518001,0.0831915062888551,2.85335429188883,0.00432603614698543,0.0224507442773423
"Rbm48",46.0640199823558,-0.732314671878576,0.256686896858786,-2.85294917987751,0.00433155480590943,0.0224712189386119
"Rabggtb",116.777091058401,-1.08045638307342,0.378759493984024,-2.85261861480625,0.0043360626735044,0.0224864368565686
"Rmc1",59.6869614394895,0.558571503630645,0.195840934139554,2.85216931835412,0.00434219648268477,0.0225100726554279
"Slx9",154.545568088141,0.415709069769453,0.145765090289563,2.85191103674855,0.00434572611097139,0.0225201960511224
"Hmgn2",115.729597057851,-0.643841285155202,0.225848778849614,-2.850762746802,0.00436144993656172,0.0225934813180901
"Spred2",38.1441353172535,-0.819348463412205,0.287478670878145,-2.85011914417646,0.00437028548759365,0.0226310432682424
"Fnbp1",241.113685401886,0.355537287803345,0.124803543064722,2.84877559621017,0.00438878238767697,0.0227185900909034
"Ccdc97",108.788326823983,0.491647176880062,0.172603129312008,2.84842562727429,0.00439361211666991,0.0227353508153187
"Kif4",41.8046952949423,-0.950945485335269,0.333942853271437,-2.84762939532746,0.00440461842966186,0.0227840494068927
"Pradc1",47.1364772760991,-0.651702184975554,0.228889904352262,-2.84722992401003,0.00441014972943181,0.0228044020404581
"Cd81",331.407069044702,0.371524061585563,0.130492984257838,2.84708073540166,0.00441221709112834,0.0228068347794046
"Exosc2",84.4854539578105,0.502545622258009,0.176553377251848,2.84642316154135,0.00442133980688506,0.0228457218241434
"Cenpu",11.8969928893274,-1.36195994939819,0.478509597712917,-2.84625419408057,0.00442368670118136,0.0228495817237874
"Dpy19l1",24.7992045851196,1.06194403266019,0.373243596263304,2.84517683167709,0.00443867742675153,0.0229187241536028
"Gm17541",4.7955743302933,2.41781480377128,0.849865443252728,2.84493836402792,0.004442001749454,0.0229275999225522
"Ganc",68.2724129685495,-0.612117860627266,0.215190859091129,-2.84453467592714,0.00444763444614529,0.02294837975428
"Chac2",16.3998413528726,1.1529549128189,0.405404372550234,2.84396269721052,0.00445562639970479,0.0229800312169161
"Dyrk1a",150.655164961196,-0.426556967808802,0.150001980719783,-2.84367556856232,0.00445964319907243,0.0229800312169161
"Itfg1",17.0316045392923,-1.25804470321767,0.44238629166403,-2.84376963509777,0.00445832688970392,0.0229800312169161
"Rps2-ps11",48.8788247978276,3.00102978934491,1.05534969511279,2.84363543500543,0.00446020491060716,0.0229800312169161
"Irf2bpl",82.319798958303,-0.513172659018353,0.180491373574562,-2.84319770443964,0.00446633557656973,0.023003319403018
"5430405H02Rik",31.8665406805131,0.767729035017298,0.270082107925397,2.84257643319847,0.0044750499439455,0.0230315903781728
"Ccdc82",84.7779959171731,-0.546656548757621,0.192306300245541,-2.84263463058484,0.00447423297484921,0.0230315903781728
"Eeig1",160.109210851617,-0.470683978629411,0.165634766424468,-2.84169796468455,0.00448739822678899,0.0230868232979108
"Fbxw5",111.980298242953,0.42591932420817,0.14990307093053,2.84129819065251,0.00449302790621002,0.0231074629299573
"Pitpnc1",28.0577658387455,-0.891649765303495,0.31390166771396,-2.84053847753368,0.00450374394116585,0.0231542372094063
"Gm7172",3.87972710078271,2.86061701589218,1.00715970354373,2.84028144278112,0.00450737475055504,0.0231645650188655
"Krba1",44.5114426065086,0.613998186666115,0.216282733493128,2.83886825707066,0.00452738447494514,0.023259030601139
"3010003L21Rik",9.19653990450664,-1.73382859319992,0.610890630886839,-2.83819804321257,0.00453690233852604,0.0232995466374789
"Bcl2l2",37.8560777015025,0.720702125222413,0.25402564602199,2.83712348146149,0.00455220027379615,0.0233697067973964
"Dda1",276.383185493799,0.353434905635831,0.124619592156718,2.83611027382726,0.00456666752773352,0.0234254766460718
"Gm16124",17.0429472714915,-1.17054302212212,0.412741717966657,-2.83601819532253,0.00456798434808221,0.0234254766460718
