"","baseMean","lgFC_LcDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Lemd2",137.437617067064,0.868272029852481,0.146794294337694,5.91488949737418,3.32098464999776e-09,8.35392192767905e-08
"Psmd11",184.27416235737,0.839838692447155,0.142026970560036,5.91323386773323,3.35455344638298e-09,8.42318716995554e-08
"Rhbdd1",29.5582751849217,1.41911426668715,0.24032563766295,5.90496411655178,3.52723516153937e-09,8.84088511494635e-08
"Cd8b1",355.954233318203,-1.58364976475126,0.268287803573157,-5.90280193009008,3.57379245460811e-09,8.94152624709387e-08
"Flcn",167.54647531245,0.742718371483096,0.125920516934042,5.89831101052526,3.67241274800327e-09,9.17183441410978e-08
"Adam11",23.5037149628236,-1.6195522083905,0.274669342007282,-5.89637051064679,3.71584105094379e-09,9.26372444861184e-08
"Prrt1",13.3311364586065,-3.27635696883,0.556262654929654,-5.8899459451297,3.86321961559518e-09,9.61397665834659e-08
"Mvd",98.1397187197149,1.28173687579951,0.217760813896483,5.88598496150372,3.95690294782269e-09,9.82959467162857e-08
"Nup62",366.726180886614,0.641176125658351,0.109065773349544,5.87880235904488,4.13245417689716e-09,1.02474587502063e-07
"Nop14",187.24604457356,0.612835684703389,0.104400329943007,5.87005505670277,4.35650442302078e-09,1.07838933067009e-07
"Gab2",53.4994245280854,1.28832831984893,0.219508854992981,5.8691405405496,4.38059995295275e-09,1.08243461846324e-07
"Sri",803.513225467234,-0.447214112388512,0.0762972217785812,-5.86147309120052,4.58778830479928e-09,1.13162742974033e-07
"Gm6061",24.7408503312246,2.09569306005037,0.357646604092097,5.85967554583774,4.63772396342309e-09,1.14192705914197e-07
"Tap2",473.015308222587,-0.471657665200177,0.0805020457801704,-5.85895253504673,4.65795794741075e-09,1.14488998070073e-07
"Tlr2",160.753131032857,1.30767889185082,0.223245117690789,5.85759234234209,4.69625701129226e-09,1.15227494085503e-07
"Ptpn12",159.700586845194,0.744031301504285,0.127095901867569,5.85409356691571,4.79618563208378e-09,1.1747289054302e-07
"Tnf",337.780608292472,3.12776090877346,0.534516222603901,5.8515733975978,4.86944304831965e-09,1.19058308927479e-07
"Gm20658",13.2235086706714,3.01788682140549,0.515845872698899,5.85036535354242,4.90494393797058e-09,1.19716647409103e-07
"Pcca",37.6947488546387,-1.28997770228823,0.220516500335668,-5.84980126350926,4.92160702906633e-09,1.19913709830358e-07
"Hspa9",476.137158630878,0.727501032544233,0.1243793270442,5.84905104274849,4.94385374356492e-09,1.20245892184512e-07
"Kmo",66.9242468739825,-1.7659838457827,0.302294620570586,-5.84192944766724,5.15996604855872e-09,1.25283975659006e-07
"Add3",430.307628704714,-0.578845073051325,0.0991765656113725,-5.83651056560633,5.33053836791776e-09,1.29200774573785e-07
"Pdlim2",171.012554578069,-0.688815833995917,0.118062038711589,-5.83435489944919,5.39990757682705e-09,1.30655302738444e-07
"Mcee",92.8470581491527,-1.17350224430164,0.201341384631867,-5.82842045338703,5.59544572442038e-09,1.35152279859226e-07
"Itsn1",33.1138364166496,1.40631790390452,0.241629118777536,5.82015077909252,5.8794564342633e-09,1.41766997027202e-07
"Mir142hg",256.277457499988,0.843777541717698,0.144986122591464,5.81971244306783,5.8948955347699e-09,1.41894200967108e-07
"Phf23",324.956942606494,0.526744801662417,0.0905271362636948,5.81863983997099,5.93284134409047e-09,1.42561786583214e-07
"Alas1",1134.30058228573,0.831048945804219,0.142890264160893,5.81599418745887,6.02745607431448e-09,1.44586450607396e-07
"Selenoh",452.489506755893,-0.668141495151839,0.114903217041878,-5.81481974441436,6.06992579260976e-09,1.45355461390437e-07
"Dctn2",265.965188350959,0.617833573912991,0.106302043998928,5.81205732901263,6.17096984100278e-09,1.47522106079178e-07
"Tbpl1",105.94924036298,0.812971031028767,0.139897646035037,5.81118449144712,6.20323541745549e-09,1.48039948142045e-07
"Plekha2",200.750305496277,-1.00544560465586,0.173063222174507,-5.8097011717604,6.25844503370744e-09,1.49102646954931e-07
"Mir6236",21.2612354056675,1.80184251686316,0.310612156819364,5.8009401026471,6.59441546696184e-09,1.56839240773857e-07
"Lst1",239.542806501847,-0.942854116926908,0.162603010218687,-5.79850345733974,6.69093239516325e-09,1.58864127838221e-07
"Msmo1",97.8174914388316,0.943488991987726,0.162811281948361,5.79498533944948,6.83271495905828e-09,1.61955065438731e-07
"Ranbp1",684.460837542508,-0.568042267731,0.0980818675292709,-5.79151154071854,6.97557648948263e-09,1.65061056558758e-07
"Psmc5",321.347989390953,0.978614355027973,0.169423762814842,5.77613398952467,7.64365122958735e-09,1.80563476846479e-07
