"","baseMean","lgFC_LcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Gm20703",2.94346389579188,-2.83515918393856,0.925077116349647,-3.06478144776308,0.00217829111990257,0.00842622620450259
"Atp6v1b2",251.865053168464,0.449339279109209,0.146728432956296,3.06238722826848,0.00219579195709487,0.00849185657798593
"Src",24.1411953139588,-0.850124647774888,0.277643637193249,-3.06192735540046,0.00219916817175414,0.00850284369546312
"Lonp2",124.640969855024,-0.406936677353808,0.132984771023632,-3.06002464960061,0.00221318775454733,0.00855496687505925
"Fcgr4",30.8106414170459,-1.05195564001328,0.343814321903404,-3.05966207047312,0.00221586859603286,0.00856324601925908
"Gm48067",6.5592456816276,-1.73045837469819,0.565716438566575,-3.05887942567634,0.00222166547147077,0.00858356015205646
"Faim",132.458276247106,-0.345743888783934,0.113039956847232,-3.05859890986326,0.0022237465704811,0.00858951173480022
"Wsb2",93.4638615607806,0.611927485799298,0.20007749888551,3.05845229577495,0.00222483498613296,0.00859162698704286
"Snapc2",102.287623890694,0.430491605265988,0.140759134228589,3.05835644432766,0.0022255468202148,0.0085922873226616
"Fbxo4",50.4109669694842,-0.679900771549666,0.222396986490927,-3.0571492099665,0.00223453014762202,0.00862487377436129
"4933424M12Rik",3.40204226082527,-2.41941318724668,0.791514178206879,-3.05668963849478,0.00223795865503444,0.00863200558037175
"Mtrr",48.9491272134231,0.531697089943764,0.173947139010713,3.05665901128169,0.00223818731222391,0.00863200558037175
"N4bp3",59.4400632717711,-0.589627118299574,0.192894043871566,-3.05674092608149,0.00223757579919605,0.00863200558037175
"Smap1",232.463526688672,0.378807879391636,0.123930709244061,3.05661027603447,0.00223855120482984,0.00863200558037175
"Adi1",75.9563917842114,0.448971071164184,0.146926588164329,3.05575101670526,0.0022449759669459,0.00865257961835748
"Yme1l1",19.160254743813,-0.869671524735465,0.284598493585793,-3.05578400566375,0.00224472899387654,0.00865257961835748
"Homer3",47.7860145387236,0.566730675427329,0.185588101674374,3.05370155906705,0.00226036821837577,0.00870979138620808
"Mrps26",247.159134460959,-0.321126732651955,0.105172275151286,-3.05334017154261,0.00226309239087692,0.00871817381519438
"Tmem14c",478.213814571222,0.34698649079195,0.113696116093037,3.05187637639277,0.00227415740790733,0.00875867605804211
"Abcd3",53.061930792929,0.558381338292778,0.183004311134123,3.05119226335352,0.00227934568213319,0.00877653050219341
"Ttc21a",3.02266531906991,-2.38072803131164,0.780379249484524,-3.05073210606794,0.0022828415859694,0.00878786146748144
"Cstpp1",10.8638317997294,-1.11278759484148,0.36477199545068,-3.05063877907243,0.00228355120801738,0.00878846367290992
"Sash1",16.305749619148,-0.9600999088117,0.314729036036132,-3.05056031977131,0.00228414793825996,0.00878863121703464
