"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Control","lfcSE","stat","pvalue","padj"
"Gm37121",5.1685465214511,2.65707902634449,0.791401016137133,3.35743696579242,0.000786686785712781,0.00412942510009097
"Inpp1",21.1271518520197,1.5171585347303,0.452189196801486,3.35514104596431,0.000793245284904991,0.00415749027756972
"Zc2hc1a",23.4487590677098,1.20464559476129,0.359107917602299,3.35455036136351,0.000794940816222405,0.00416474557324808
"F830208F22Rik",8.61791690489645,2.60707735239754,0.778121609049297,3.35047545535054,0.000806729585149317,0.00422003027817764
"2310011J03Rik",147.695497813631,0.627933032877475,0.18758829848841,3.34739980018674,0.000815734713892376,0.00425715455265889
"Hs1bp3",92.6536820012797,1.19228301671631,0.356462321167438,3.34476590067499,0.000823520479192061,0.00429142179481268
"Mab21l3",12.1984929590407,3.76635084297912,1.12611764335951,3.34454474200678,0.000824177348277461,0.00429320615644112
"Eif4e3",61.3568092947015,0.897952674778081,0.268677297616068,3.34212336786724,0.000831400997925117,0.00432753252942113
"Sertad3",28.0684057704308,1.42238096089629,0.425681054299717,3.3414241637703,0.000833497825632999,0.0043367933739967
"Arl5c",240.642514376372,1.13971886705214,0.342215948153931,3.33040839621971,0.000867186916851747,0.00449665893497034
"Psmd14",320.020080337246,0.680119859885568,0.20436258683995,3.32800572943527,0.000874700675293295,0.00452774994658508
"Mtarc2",297.877202073371,0.560840648085156,0.16860109205748,3.32643544143803,0.000879643938044742,0.00454743607956262
