"","Naive_CD11c_M4","Naive_CD11c_M2","Naive_CD11c_M1","Naive_CD11c_M3","CD11c_6H_M2","CD11c_6H_M1","CD11c_6H_M3","CD11c_6H_M4","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Flrt3",-0.38,-0.4,-0.12,-0.24,0.12,0.36,0.06,-0.42,1.95,0.93,0.98,1.32,-1.13,-1.47,-1.57
"Hbegf",-0.36,-0.98,-0.82,-0.34,-0.45,0.09,0.46,-0.13,1.44,1.03,1.61,1.6,-0.96,-0.94,-1.25
"Cd274",-1.17,-0.88,-0.46,-0.75,-0.01,0.28,0.49,0.45,1.31,1.28,1.37,1.3,-1.47,-0.85,-0.87
"H2-M3",-0.89,-0.34,-0.47,-0.34,-0.31,0.53,0.78,0.16,0.95,1.24,1.36,1.36,-1.66,-1.4,-0.97
"Ereg",-0.41,-1.12,-0.96,-1.24,0.4,0.32,0.36,0.83,2.28,0.45,0,1.17,0.03,-1.16,-0.96
"Il33",-0.57,-1.26,-1.07,-1.42,0.29,1.18,1.21,0.03,1.7,0.32,0.9,0.71,-0.27,-0.66,-1.07
"Il1a",-0.76,-1.46,-0.89,-1.07,0.56,1.01,1,0.94,1.45,0.56,0.33,0.85,-0.14,-1.32,-1.06
"Tnfsf9",-0.5,-0.88,-0.53,-0.61,0.7,1.01,0.75,0.92,1.26,0.92,0.73,0.4,-0.83,-1.74,-1.6
"Hdc",0.14,-0.4,-0.65,-0.44,0.95,0.88,1.23,1.22,1.15,0.16,0.04,0.17,-0.95,-1.53,-1.97
"Ccl7",-0.55,-0.84,-0.91,0.08,0.54,0.87,1.57,1.17,1.67,-0.27,0.07,0.12,-0.81,-1.52,-1.19
"Il10",-0.37,-1,-0.95,-0.94,0.78,0.49,1.04,0.82,2.32,-0.18,0.71,-0.12,-0.42,-1.22,-0.95
"Plat",-0.65,-0.76,-1.22,-0.79,0.67,0.72,0.88,0.5,2.4,0.18,0.37,0.36,-0.34,-1.12,-1.21
"Ccl12",-0.78,-1.32,-1.07,-0.31,-0.38,0.61,1.18,1.1,1.18,0.9,1.08,0.75,-0.49,-1.39,-1.07
"Cxcl9",-0.71,-1.08,-1.32,0.36,-0.69,-0.04,1.24,1.94,0.72,0.99,0.77,0.3,-0.34,-0.81,-1.32
"Cxcl1",-1.41,-1.25,-0.83,-1.2,0.6,0.72,0.73,0.45,0.93,1.24,1.14,1.12,-0.93,-0.48,-0.84
