"","GeneNameA","GeneNameB"
"3538","Ilk","Slc25a5"
"3547","Pag1","Slc25a5"
"3556","Fbp1","Slc25a5"
"3565","Nphs2","Slc25a5"
"3574","Ezh2","Slc25a5"
"3583","Cbl","Slc25a5"
"3592","Grin2b","Slc25a5"
"3601","Soat1","Slc25a5"
"3610","Fancd2","Slc25a5"
"3628","Ywhae","Anxa11"
"3630","Ywhae","Anxa3"
"3634","Ywhaz","Anxa3"
"3638","Kcnma1","Anxa3"
"3646","Lmna","Anxa3"
"3654","Cdh17","Anxa4"
"3660","Actg1","Anxa4"
"3666","Hsd3b4","Anxa4"
"3672","Pgls","Anxa4"
"3678","Pdia3","Anxa4"
"3684","Ywhae","Anxa4"
"3690","Actb","Anxa4"
"3696","Ywhaz","Anxa4"
"3702","Acta1","Anxa4"
"3714","Abcg3","Anxa4"
"3720","Ywhae","Anxa5"
"3724","Kcnma1","Anxa5"
"3732","Dlg4","Anxa5"
"3740","Ywhah","Anxa5"
"3744","Eed","Anxa5"
"3748","Ywhae","Anxa6"
"3753","Ywhaz","Anxa6"
"3758","Pag1","Anxa6"
"3763","Hsd3b4","Anxa6"
"3768","Cbl","Anxa6"
"3778","Isg15","Anxa6"
"3783","Eed","Anxa7"
"3785","Kcnma1","Anxa7"
"3789","Ywhae","Aoc3"
"3791","Htt","Aoc3"
"3793","Ywhaz","Aoc3"
"3797","Hsd3b4","Aoc3"
"3799","Prdx3","Prdx3"
"3805","Hsd3b4","Prdx3"
"3811","Dlg4","Prdx3"
"3817","Fancd2","Prdx3"
"3823","Rab1a","Prdx3"
"3829","Unk","Prdx3"
"3835","Ywhae","Prdx3"
"3847","Cav3","Prdx3"
"3853","Pgls","Prdx6"
"3860","Snta1","Prdx6"
"3867","Ywhae","Prdx6"
"3874","Fancd2","Prdx6"
"3881","Pla2g4a","Prdx6"
"3895","Hsd3b7","Prdx6"
"3909","Grin2b","Prdx6"
"3916","Gstp1","Prdx6"
"3923","Kcnq1","Prdx6"
"3930","Cav3","Prdx6"
"3937","Ncoa3","Prdx6"
"3944","Sufu","Prdx6"
"3951","Ywhae","Aox1"
"3955","Pgls","Aox1"
"3957","Ywhaz","Ap1b1"
"3965","Ap1g1","Ap1b1"
"3973","Cyfip1","Ap1b1"
"3981","Agap2","Ap1b1"
"3989","Hsd3b4","Ap1b1"
"3997","Atp6v1a","Ap1b1"
"4005","Crebbp","Ap1b1"
"4013","Ywhae","Ap1b1"
"4021","Cav3","Ap1b1"
"4029","Grb2","Ap1b1"
"4037","Foxp3","Ap1b1"
"4045","Ywhab","Ap1b1"
"4061","Lnx1","Ap1b1"
"4069","Kcnq1","Ap1b1"
"4077","Prkce","Ap1b1"
"4085","Rab5a","Ap1g1"
"4089","Unk","Ap1g1"
"4093","Ap1g1","Ap1g1"
"4097","Eed","Ap1g1"
"4101","Lamp1","Ap1g1"
"4105","Syp","Ap1g1"
"4109","Cltc","Ap1g1"
"4113","Vti1b","Ap1g1"
"4117","Ap1s1","Ap1g2"
"4118","Tal1","Ap1m1"
"4123","Ywhae","Ap1m1"
"4138","Ap1g1","Ap1m1"
"4143","Eed","Ap1m1"
"4148","Ywhaz","Ap1m1"
"4153","Ywhae","Ap1m2"
"4155","Cyfip1","Ap1s1"
"4156","Ywhae","Fabp4"
"4158","Snap25","Ap2a1"
"4167","Eed","Ap2a1"
"4176","Pip5k1c","Ap2a1"
"4185","Rara","Ap2a1"
"4194","Foxp3","Ap2a1"
"4203","Grin2b","Ap2a1"
"4212","Necap1","Ap2a1"
"4221","Cav3","Ap2a1"
"4230","Dlg4","Ap2a1"
"4239","Agap2","Ap2a1"
"4248","Ubc","Ap2a1"
"4257","Ywhae","Ap2a1"
"4275","Ywhab","Ap2a1"
"4284","Pex5l","Ap2a1"
"4293","Fxr1","Ap2a1"
"4302","Nckap1","Ap2a1"
"4311","Cyfip1","Ap2a1"
"4320","Cyfip2","Ap2a1"
"4329","Atp6v1a","Ap2a1"
"4338","Sgip1","Ap2a1"
"4347","Rab32","Ap2a1"
"4356","Atp1b1","Ap2a1"
"4365","Eps15","Ap2a1"
"4374","Ywhaz","Ap2a1"
"4383","Tnik","Ap2a1"
"4392","Dnm1","Ap2a2"
"4400","Pex5l","Ap2a2"
"4408","Ywhaz","Ap2a2"
"4416","Atp6v1a","Ap2a2"
"4424","Amph","Ap2a2"
"4432","Hsd3b4","Ap2a2"
"4440","Rara","Ap2a2"
"4448","Ywhab","Ap2a2"
"4456","Eed","Ap2a2"
"4464","Fxr1","Ap2a2"
"4472","Ywhae","Ap2a2"
"4480","Tnik","Ap2a2"
"4488","Cav3","Ap2a2"
"4496","Ubc","Ap2a2"
"4512","Agap2","Ap2a2"
"4520","Ctla4","Ap2m1"
"4527","Ywhae","Ap2m1"
"4534","Hsd3b7","Ap2m1"
"4541","Pou5f1","Ap2m1"
"4548","Eed","Ap2m1"
"4555","Pgls","Ap2m1"
"4562","Hsd3b4","Ap2m1"
"4576","Rara","Ap2m1"
"4583","Atp6v1a","Ap2m1"
"4590","Ywhab","Ap2m1"
"4604","Ubc","Ap2m1"
"4611","Rab32","Ap3b1"
"4612","Ywhae","Ap3b1"
"4613","Eed","Ap3b1"
"4615","Ywhae","Ap3b2"
"4619","Dtnbp1","Ap3b2"
"4627","Atp6v1a","Ap3b2"
"4631","Fancd2","Ap3b2"
"4635","Sod1","Ap3d1"
"4642","Ywhae","Ap3d1"
"4649","Ywhab","Ap3d1"
"4656","Pi4kb","Ap3d1"
"4663","Eed","Ap3d1"
"4677","Rab37","Ap3d1"
"4684","Ift27","Ap3d1"
"4691","Ap1g1","Ap3d1"
"4698","Dlst","Ap3d1"
"4705","Hspb2","Ap3d1"
"4712","Stat4","Ap3d1"
"4719","Kif3a","Ap3d1"
"4726","Ubc","Ap3d1"
"4733","Dld","Ap3s1"
"4736","Foxp3","Ap3s1"
"4739","Hmga2","Ap3s1"
