InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
20937	8355	IntAct	1	1	1	10949293
20937	8356	IntAct	1	1	1	10949293
20937	8357	IntAct	1	1	1	10949293
20937	8358	IntAct	1	1	1	10949293
20937	8968	IntAct	1	1	1	10949293
12562	19263	MINT	1	1	2	12234928, 21857650
12387	21416	MINT, Biogrid	2	2	5	10898789, 19816403, 19805521, 19503085, 17053159
67087	12387	MINT, Biogrid	1	1	2	10898789, 12874278
8350	18507	MINT	2	2	1	11242053
8351	18507	MINT	2	2	1	11242053
8352	18507	MINT	2	2	1	11242053
8353	18507	MINT	2	2	1	11242053
8354	18507	MINT	2	2	1	11242053
8355	18507	MINT	2	2	1	11242053
8356	18507	MINT	2	2	1	11242053
8357	18507	MINT	2	2	1	11242053
8358	18507	MINT	2	2	1	11242053
8968	18507	MINT	2	2	1	11242053
12416	8350	MINT	2	2	1	11242053
12416	8351	MINT	2	2	1	11242053
12416	8352	MINT	2	2	1	11242053
12416	8353	MINT	2	2	1	11242053
12416	8354	MINT	2	2	1	11242053
12416	8355	MINT	2	2	1	11242053
12416	8356	MINT	2	2	1	11242053
12416	8357	MINT	2	2	1	11242053
12416	8358	MINT	2	2	1	11242053
12416	8968	MINT	2	2	1	11242053
8350	12419	MINT, IntAct	1	1	2	11242053, 25613572
8351	12419	MINT, IntAct	1	1	2	11242053, 25613572
8352	12419	MINT, IntAct	1	1	2	11242053, 25613572
8353	12419	MINT, IntAct	1	1	2	11242053, 25613572
8354	12419	MINT, IntAct	1	1	2	11242053, 25613572
8355	12419	MINT, IntAct	1	1	2	11242053, 25613572
8356	12419	MINT, IntAct	1	1	2	11242053, 25613572
8357	12419	MINT, IntAct	1	1	2	11242053, 25613572
8358	12419	MINT, IntAct	1	1	2	11242053, 25613572
8968	12419	MINT, IntAct	1	1	2	11242053, 25613572
6018	19762	IntAct	1	1	1	10545207
19762	5900	IntAct	1	1	1	10545207
19762	4301	IntAct	1	1	1	10545207
15258	17863	IntAct	1	1	1	15082531
