"","GeneNameA","GeneNameB"
"9035","Sod3","Atp7a"
"9036","Tmem30a","Atp8a1"
"9038","Atp6v1g1","Atp6v0c"
"9039","Atp6v1g2","Atp6v0c"
"9044","Ubc","Hnrnpd"
"9048","Prmt5","Hnrnpd"
"9052","Ldha","Hnrnpd"
"9068","Cited4","Hnrnpd"
"9076","Rara","Hnrnpd"
"9092","Dmrt2","Hnrnpd"
"9104","Ush1c","Pcdh15"
"9113","Lhfpl5","Pcdh15"
"9116","Pcdh15","Pcdh15"
"9119","Myo7a","Pcdh15"
"9132","Lrrk2","Axin1"
"9136","Dvl3","Axin1"
"9140","Rnf11","Axin1"
"9148","Ppp1ca","Axin1"
"9152","Map3k4","Axin1"
"9156","Rnf111","Axin1"
"9160","Axin1","Axin1"
"9164","Cops2","Axin1"
"9184","Dvl2","Axin1"
"9196","Map2k1","Axin1"
"9224","Nck2","Axin1"
"9236","Hipk2","Axin1"
"9252","Dixdc1","Axin1"
"9300","Gsk3b","Axin2"
"9302","Ctnnb1","Axin2"
"9316","H2-Q7","B2m"
"9320","Desi1","B2m"
"9328","H2-D1","B2m"
"9332","Tap1","B2m"
"9336","Smad5","Bach1"
"9338","Smad1","Bach1"
"9340","Mafk","Bach1"
"9342","Smad9","Bach1"
"9346","Bach1","Bach1"
"9360","Mafk","Bach2"
"9361","Bcl6","Bach2"
"9364","Bach2","Bach2"
"9367","Ywhaq","Bad"
"9383","Gck","Bad"
"9387","Bcl2","Bad"
"9411","Hspa1b","Bag1"
"9413","Mapt","Bag1"
"9423","Mfn2","Bak1"
"9429","Bcl2","Bak1"
"9438","Bax","Bak1"
"9441","Vdac2","Bak1"
"9465","Ikbkb","Nkx3-2"
"9469","Ubc","Bard1"
"9473","Dlx1","Barx1"
"9474","Zfp641","Barx1"
"9475","Creb1","Barx2"
"9477","Srf","Barx2"
"9479","Tbl1x","Barx2"
"9494","Bid","Bax"
"9503","Bcl2l1","Bax"
"9515","Prkn","Bax"
"9518","Bax","Bax"
"9548","Bach2","Bcl6b"
"9550","Dlg4","Phb2"
"9554","Hdac1","Phb2"
"9558","Eef1a2","Phb2"
"9570","Phb2","Phb2"
"9590","Rab32","Phb2"
"9611","Tlr4","Bcl10"
"9613","Bcl10","Bcl10"
"9617","Map3k7","Bcl10"
"9619","Card10","Bcl10"
"9627","Irak1","Bcl10"
"9647","Cdk2","Bcl2"
"9655","Becn1","Bcl2"
"9659","Trp53","Bcl2"
"9663","Bag1","Bcl2"
"9667","Prkn","Bcl2"
"9679","Bcl2l11","Bcl2"
"9683","Bax","Bcl2"
"9687","Gimap5","Bcl2"
"9703","Rad9a","Bcl2"
"9727","Cpt1a","Bcl2"
"9751","Gimap3","Bcl2"
"9755","Bbc3","Bcl2a1a"
"9757","Bcl2l11","Bcl2a1a"
"9759","Bak1","Bcl2a1a"
"9767","Bid","Bcl2a1a"
"9771","Bmf","Bcl2a1a"
"9783","Bad","Bcl2l1"
"9789","Ppp1cc","Bcl2l1"
"9799","Siva1","Bcl2l1"
"9803","Cyld","Bcl3"
"9807","Tbx21","Bcl6"
"9810","Bcl6","Bcl6"
"9819","Bcl6b","Bcl6"
"9822","Fbxo11","Bcl6"
"9828","Ykt6","Bet1"
"9829","Omp","Bex2"
"9836","Tsc1","Bex3"
"9840","Ppl","Bfsp1"
"9842","Usp42","Glb1"
"9843","Pts","Bgn"
"9844","Ubc","Bhmt"
"9851","Bcl2","Bid"
"9860","Casp3","Bid"
"9881","Bcl2l1","Bcl2l11"
"9882","Prkar1a","Bcl2l11"
"9884","Mcl1","Bcl2l11"
"9885","Btrc","Bcl2l11"
"9897","Ets2","Prdm1"
"9899","Zbtb32","Prdm1"
"9901","Spi1","Prdm1"
"9905","Ets1","Prdm1"
"9913","Prdm1","Prdm1"
"9925","Ctr9","Cxcr5"
"9928","Bmi1","Bmi1"
"9936","Aurkb","Bmi1"
"9940","Rnf2","Bmi1"
"9944","Kdm2b","Bmi1"
"9948","Cbfb","Bmi1"
"9952","Hells","Bmi1"
