"","GeneNameA","GeneNameB"
"617","Ywhae","Ampd3"
"618","Cav3","Ampd3"
"619","Kcnq1","Ampd3"
"620","Pgls","Mat1a"
"621","Ywhae","Mat1a"
"622","Mid1ip1","Mat1a"
"623","App","Mat1a"
"624","Mat1a","Mat1a"
"625","Fancd2","Amy1"
"626","Ppp1ca","Amy1"
"627","Ang3","Ang3"
"628","Tal1","Ank"
"629","Ywhae","Ank1"
"630","Ywhaz","Ank1"
"631","Hsd3b4","Ank1"
"632","Atp1b1","Ank1"
"633","Agap2","Ank3"
"634","Hook1","Ank3"
"635","Camk2d","Ank3"
"636","Sptbn4","Ank3"
"637","Dlg4","Ank3"
"638","Ywhab","Ank3"
"639","Shank3","Ank3"
"640","Tnik","Ank3"
"641","Hsd3b4","Ank3"
"642","Ywhae","Ank3"
"643","Actg1","Ank3"
"644","Pik3r1","Ank3"
"645","Fxr1","Ankfy1"
"646","Fancd2","Ankfy1"
"647","Eed","Ankfy1"
"648","Ywhae","Anp32a"
"649","Abcf1","Anp32a"
"650","Set","Anp32a"
"651","Ywhah","Anp32a"
"652","Xpo7","Anp32a"
"653","Hdac2","Anp32a"
"654","Fancd2","Slc25a4"
"655","Ywhae","Slc25a4"
"656","Ezh2","Slc25a4"
"657","Ilk","Slc25a4"
"658","Dlg4","Slc25a4"
"659","Ywhab","Slc25a4"
"660","Grid2","Slc25a4"
"661","Nphs2","Slc25a4"
"662","Eed","Slc25a4"
"663","Grin2b","Slc25a4"
"664","Prkce","Slc25a4"
"665","Ppp1ca","Slc25a4"
"666","Dtnbp1","Slc25a4"
"667","Arl2bp","Slc25a4"
"668","Hsd3b4","Slc25a4"
"669","Lipc","Slc25a4"
"670","Ubc","Slc25a5"
"671","Hspb2","Slc25a5"
"672","Eed","Slc25a5"
"673","Dlst","Slc25a5"
"674","Ecsit","Slc25a5"
"675","Ywhab","Slc25a5"
"676","Nphs2","Slc25a5"
"677","Ywhaz","Slc25a5"
"678","Coq2","Slc25a5"
"679","Dlg4","Slc25a5"
"680","Pag1","Slc25a5"
"681","Uvrag","Slc25a5"
"682","Sdha","Slc25a5"
"683","Fbp1","Slc25a5"
"684","Hsd3b4","Slc25a5"
"685","Prkce","Slc25a5"
"686","B9d1","Slc25a5"
"687","Grin2b","Slc25a5"
"688","Grid2","Slc25a5"
"689","Cox15","Slc25a5"
"690","Cbl","Slc25a5"
"691","Ilk","Slc25a5"
"692","Vdac1","Slc25a5"
"693","Lipc","Slc25a5"
"694","Soat1","Slc25a5"
"695","Fancd2","Slc25a5"
"696","Ywhae","Slc25a5"
"697","Cdk1","Slc25a5"
"698","Ezh2","Slc25a5"
"699","Ywhae","Anxa11"
"700","Kcnma1","Anxa3"
"701","Lmna","Anxa3"
"702","Ywhae","Anxa3"
"703","Ywhaz","Anxa3"
"704","Pgls","Anxa4"
"705","Pdia3","Anxa4"
"706","Hsd3b4","Anxa4"
"707","Cdh17","Anxa4"
"708","Actg1","Anxa4"
"709","Acta1","Anxa4"
"710","Ywhae","Anxa4"
"711","Actb","Anxa4"
"712","Ywhaz","Anxa4"
"713","Abcg3","Anxa4"
"714","Ywhae","Anxa5"
"715","Dlg4","Anxa5"
"716","Eed","Anxa5"
"717","Ywhah","Anxa5"
"718","Kcnma1","Anxa5"
"719","Ywhae","Anxa6"
"720","Pag1","Anxa6"
"721","Hsd3b4","Anxa6"
"722","Ywhaz","Anxa6"
"723","Cbl","Anxa6"
"724","Isg15","Anxa6"
"725","Eed","Anxa7"
"726","Kcnma1","Anxa7"
"727","Ywhae","Aoc3"
"728","Hsd3b4","Aoc3"
"729","Ywhaz","Aoc3"
"730","Htt","Aoc3"
"731","Hsd3b4","Prdx3"
"732","Dlg4","Prdx3"
"733","Unk","Prdx3"
"734","Cav3","Prdx3"
"735","Ywhae","Prdx3"
"736","Prdx3","Prdx3"
"737","Rab1a","Prdx3"
"738","Fancd2","Prdx3"
"739","Hsd3b7","Prdx6"
"740","Pla2g4a","Prdx6"
"741","Grin2b","Prdx6"
"742","Ncoa3","Prdx6"
"743","Snta1","Prdx6"
"744","Gstp1","Prdx6"
"745","Kcnq1","Prdx6"
"746","Fancd2","Prdx6"
"747","Pgls","Prdx6"
"748","Sufu","Prdx6"
"749","Cav3","Prdx6"
"750","Ywhae","Prdx6"
"751","Ywhae","Aox1"
"752","Pgls","Aox1"
"753","Cav3","Ap1b1"
"754","Hsd3b4","Ap1b1"
"755","Ywhaz","Ap1b1"
"756","Crebbp","Ap1b1"
"757","Agap2","Ap1b1"
"758","Ap1g1","Ap1b1"
"759","Kcnq1","Ap1b1"
"760","Ywhae","Ap1b1"
"761","Grb2","Ap1b1"
"762","Ywhab","Ap1b1"
"763","Atp6v1a","Ap1b1"
"764","Cyfip1","Ap1b1"
"765","Lnx1","Ap1b1"
"766","Foxp3","Ap1b1"
"767","Prkce","Ap1b1"
"768","Lamp1","Ap1g1"
"769","Rab5a","Ap1g1"
"770","Unk","Ap1g1"
"771","Syp","Ap1g1"
"772","Cltc","Ap1g1"
"773","Eed","Ap1g1"
"774","Vti1b","Ap1g1"
"775","Ap1g1","Ap1g1"
"776","Ap1s1","Ap1g2"
"777","Ywhae","Ap1m1"
"778","Tal1","Ap1m1"
"779","Ywhaz","Ap1m1"
"780","Ap1g1","Ap1m1"
"781","Eed","Ap1m1"
"782","Ywhae","Ap1m2"
"783","Cyfip1","Ap1s1"
"784","Ywhae","Fabp4"
